"Mcg","Gvh","Alm","Mit","Erl","Pox","Vac","Nuc","Class"
69,7,52,36,5,0,46,22,0
78,75,4,28,5,0,53,22,0
64,57,57,27,5,0,37,22,0
36,58,35,24,5,0,44,22,1
36,43,39,12,5,0,49,22,1
47,52,5,4,5,0,41,22,0
48,23,57,27,5,0,48,47,0
47,39,55,24,5,0,47,22,0
44,59,36,16,5,0,52,22,1
3,56,55,18,5,0,5,22,0
65,65,52,16,5,0,6,22,0
27,6,48,23,5,0,55,22,0
45,41,5,46,5,5,5,27,0
44,52,41,23,5,0,51,22,0
3,32,57,19,5,0,48,55,0
4,44,49,47,5,0,49,27,0
45,51,5,16,5,0,52,10,0
45,45,5,6,5,0,49,22,0
59,67,56,41,5,0,47,22,0
47,47,57,48,5,0,48,22,0
35,52,48,22,5,0,26,22,0
47,41,66,26,5,0,53,22,0
64,62,29,28,5,0,51,22,0
59,6,49,43,5,0,53,31,0
54,55,34,31,5,0,54,22,1
58,62,54,17,5,0,48,22,0
4,38,53,16,5,0,52,27,0
46,71,48,53,5,0,53,22,0
53,51,55,5,5,0,45,25,0
41,4,59,47,5,0,48,43,0
5,64,57,15,5,0,47,22,0
4,62,52,31,5,0,49,31,0
6,5,57,25,5,0,41,26,0
62,51,52,42,5,0,54,27,0
34,54,5,21,5,0,54,31,0
39,58,5,26,5,0,54,59,1
29,32,58,15,5,0,5,3,0
47,32,64,3,5,0,63,22,0
39,47,56,16,5,0,47,22,0
58,48,51,47,5,0,55,22,0
64,6,57,19,5,0,43,22,0
37,46,4,27,5,0,45,22,0
43,57,53,16,5,0,54,22,0
28,37,61,9,5,0,52,55,0
59,48,5,14,5,0,45,25,0
39,55,48,31,5,0,54,29,0
26,36,47,34,5,0,53,72,0
51,34,5,19,5,0,5,22,0
58,5,5,12,5,0,48,25,0
44,39,53,14,5,0,54,44,0
41,39,44,34,5,0,48,4,0
45,43,51,24,5,0,54,33,0
36,68,46,16,5,0,53,28,0
42,31,5,15,5,0,53,22,0
67,71,52,65,5,0,53,36,0
4,42,71,21,5,0,54,32,0
54,49,49,2,5,0,52,22,0
57,51,53,18,5,0,56,25,0
35,45,43,11,5,0,56,22,1
42,42,42,2,5,0,49,22,1
26,5,33,28,5,0,51,22,1
39,42,38,4,5,0,49,47,1
26,44,3,11,5,0,51,47,1
31,44,53,23,5,0,51,32,0
48,61,44,2,5,0,47,22,0
66,45,5,23,5,0,49,22,0
21,41,55,11,5,0,5,27,0
38,68,44,45,5,0,53,22,0
44,38,48,32,5,83,53,22,0
31,31,56,33,5,0,52,33,0
49,31,49,35,5,0,51,29,0
38,37,56,21,5,0,49,22,0
39,4,53,67,5,0,47,22,0
24,34,69,18,5,0,52,22,0
49,43,51,13,5,0,47,22,0
54,38,52,18,5,0,48,22,0
43,57,53,53,5,0,53,25,0
31,55,52,17,5,0,52,22,0
32,42,52,24,5,0,6,22,0
37,42,51,11,5,0,57,22,0
75,7,38,27,5,0,49,22,0
44,42,6,21,5,0,57,22,0
52,51,51,54,5,0,55,27,0
63,56,45,58,5,0,51,22,0
72,62,34,29,5,0,56,28,0
72,61,37,3,5,0,57,22,0
57,57,44,37,5,0,52,25,0
42,58,41,65,5,0,46,26,0
59,61,34,22,5,0,51,22,0
52,77,38,34,5,0,51,22,0
5,52,6,51,5,0,48,22,0
49,6,43,56,5,0,36,22,0
5,41,44,5,5,0,42,22,0
5,4,56,7,5,0,5,22,0
37,58,44,51,5,0,44,22,0
55,45,45,54,5,0,5,22,0
67,68,46,29,5,0,46,22,0
53,51,46,28,5,0,48,22,0
47,46,59,49,5,0,56,22,0
73,83,43,3,5,0,55,22,0
7,65,54,28,5,0,6,4,0
47,54,37,14,5,0,5,22,1
56,52,48,17,5,0,46,22,0
56,41,58,21,5,0,42,22,0
58,56,45,12,5,0,51,22,0
53,38,66,25,5,0,43,22,0
34,36,54,11,5,0,36,21,0
69,61,38,27,5,0,52,22,0
37,53,6,19,5,5,42,22,0
41,45,53,17,5,0,51,25,0
31,46,54,52,5,0,5,34,0
36,37,33,14,5,0,57,31,1
82,78,49,23,5,0,46,22,0
82,75,54,23,5,0,46,22,0
41,51,58,15,5,0,45,27,0
53,44,51,33,5,0,52,22,0
46,54,71,15,5,0,59,22,0
53,53,6,13,5,0,49,22,0
42,57,72,22,5,0,57,22,0
2,26,52,14,5,0,53,44,0
51,53,55,14,5,0,51,22,0
44,68,45,51,5,0,52,41,0
27,39,66,11,5,0,44,22,0
55,42,34,3,5,0,52,22,1
34,42,3,23,5,0,53,22,1
44,53,52,23,5,83,51,22,0
59,58,56,21,5,0,54,33,0
39,28,46,12,5,0,41,22,0
56,43,54,16,5,0,5,22,0
35,4,59,22,5,0,47,37,0
42,32,5,21,5,0,51,22,0
55,54,56,22,5,0,5,37,0
8,46,5,15,5,0,53,22,0
6,56,47,2,5,0,5,38,0
47,65,54,62,5,0,53,36,0
43,39,54,14,5,0,47,22,0
53,61,52,21,5,0,55,3,0
54,42,41,16,5,0,52,22,0
46,35,53,16,5,0,51,29,0
51,55,35,16,5,0,51,47,1
56,52,55,19,5,0,54,22,0
37,53,46,23,5,0,47,22,0
83,58,33,4,5,0,53,22,0
39,45,53,18,5,0,54,22,0
52,54,5,21,5,0,48,3,0
35,39,57,11,5,0,48,22,0
36,49,3,22,5,0,52,31,1
78,7,32,23,5,0,53,22,0
55,46,53,11,5,0,52,48,0
45,56,53,32,5,0,57,22,0
29,43,4,15,5,0,53,22,1
52,75,37,14,5,0,46,22,1
58,6,43,12,5,0,55,22,1
54,65,49,34,5,0,52,22,0
57,59,44,16,5,0,52,22,0
59,58,46,19,5,0,56,27,0
92,61,4,22,5,0,54,22,0
55,56,45,14,5,0,54,22,0
36,46,43,19,5,0,48,22,1
34,38,45,19,5,0,51,22,0
62,58,46,13,5,0,53,22,0
53,68,42,19,5,0,53,22,1
73,55,41,16,5,0,46,22,0
55,46,46,31,5,0,58,48,0
35,6,47,13,5,0,52,43,0
77,87,47,37,5,0,48,22,0
35,46,49,15,10,0,55,35,0
43,51,48,14,5,0,5,22,0
57,61,45,26,5,0,5,22,0
63,62,42,12,5,0,52,25,0
25,4,51,18,5,0,5,27,0
56,62,53,24,5,0,57,22,0
58,6,51,24,5,0,53,22,0
71,59,53,15,5,0,49,33,0
46,35,33,17,5,0,55,22,1
54,55,42,22,5,0,48,22,1
39,44,28,12,5,0,46,27,1
33,44,49,8,5,0,48,49,0
46,48,44,21,5,0,55,22,0
35,36,57,17,5,0,52,22,0
54,57,52,19,5,0,59,67,0
42,52,4,17,5,0,5,26,1
91,77,34,47,5,0,52,31,0
81,9,39,41,5,0,53,22,0
45,4,56,14,5,0,54,22,0
47,47,58,16,5,0,49,28,0
41,39,51,52,5,0,49,22,0
37,34,32,22,5,0,56,22,1
69,6,5,31,5,0,55,22,0
84,66,36,78,5,0,49,5,0
37,43,62,27,5,0,48,22,0
55,66,57,32,5,0,57,34,0
48,35,42,21,5,0,57,22,0
62,58,52,15,5,0,52,29,0
56,59,53,16,5,0,24,42,0
44,51,37,15,5,0,51,22,1
44,44,49,15,5,0,46,27,0
6,6,49,3,5,0,53,22,0
49,46,34,21,5,0,55,22,1
35,68,57,4,5,0,53,36,0
7,69,43,33,5,0,58,22,0
23,3,58,22,5,0,48,27,0
51,35,46,15,5,0,51,42,0
32,38,52,2,5,0,52,28,0
59,65,52,3,5,0,46,31,0
41,52,41,11,5,0,54,35,0
37,33,5,12,5,0,51,54,0
45,56,49,17,5,0,52,22,0
56,54,59,14,5,0,52,27,0
31,31,54,18,5,0,52,29,0
54,56,57,18,5,0,45,25,0
17,38,45,9,5,0,54,27,0
43,51,54,15,5,0,45,26,0
6,4,59,18,5,0,48,22,0
91,69,57,45,5,0,56,22,0
38,47,53,12,5,0,48,22,0
59,43,52,19,5,0,55,27,0
64,53,45,13,5,0,53,22,0
52,51,51,12,5,0,51,4,0
49,43,48,15,5,0,55,25,0
49,47,52,16,5,0,53,28,0
48,39,49,18,5,0,51,22,0
44,34,55,18,5,0,52,22,0
43,54,58,16,5,0,5,36,0
2,34,33,1,5,0,48,31,1
3,5,47,11,5,0,46,22,0
31,45,5,17,5,0,49,22,0
55,41,56,21,5,0,52,22,0
4,34,52,17,5,0,47,51,0
4,48,5,17,5,0,54,5,0
58,48,56,1,5,0,46,25,0
58,48,56,12,5,0,46,25,0
58,41,51,26,5,0,51,37,0
41,6,53,29,5,0,47,43,0
69,5,49,42,5,0,49,22,0
6,48,44,52,5,0,54,63,0
28,51,55,11,5,0,46,22,0
56,57,63,39,10,0,59,4,0
46,57,57,15,5,0,52,26,0
43,42,54,22,5,0,57,33,0
48,34,47,14,5,0,47,26,0
35,4,53,18,5,0,42,38,0
47,45,53,62,5,0,46,22,0
53,43,47,15,5,0,58,22,0
44,42,62,14,5,0,55,37,0
37,34,58,24,5,0,44,18,0
37,34,58,24,5,0,44,18,0
39,39,55,52,5,0,37,16,0
39,39,55,52,5,0,37,16,0
48,46,38,29,5,0,53,22,1
48,57,5,9,5,0,52,42,0
61,57,45,21,5,0,5,42,0
51,63,3,35,5,0,53,27,1
53,68,34,42,5,0,54,27,1
37,22,64,35,5,0,47,22,0
51,48,58,22,5,0,5,28,0
49,37,59,17,5,0,51,22,0
51,48,58,22,5,0,5,28,0
53,53,53,17,5,0,49,37,0
29,68,47,26,5,0,47,37,0
5,45,49,15,5,0,55,43,0
33,28,31,24,5,0,53,22,1
85,85,3,31,5,0,55,42,0
43,39,51,28,5,0,4,22,0
34,35,61,19,5,0,52,25,0
55,53,56,29,5,0,48,22,0
37,62,34,25,5,0,51,22,1
45,56,51,64,5,0,54,22,0
38,46,52,75,5,0,5,26,0
61,54,49,19,5,0,54,47,0
44,53,52,37,5,0,5,22,0
44,53,52,37,5,0,5,22,0
32,34,61,17,5,0,52,32,0
34,34,61,18,5,0,52,32,0
51,68,49,59,5,0,54,27,0
41,3,49,28,5,0,54,22,0
41,43,5,28,5,0,5,22,0
3,5,34,26,5,0,51,22,1
49,4,34,26,5,0,5,22,1
34,4,3,23,5,0,51,22,1
43,44,3,18,5,0,51,22,1
45,57,3,17,5,0,51,22,1
42,44,33,17,5,0,54,27,1
52,5,53,1,5,0,48,22,0
53,56,49,46,5,0,52,22,0
45,54,54,62,5,0,53,22,0
51,43,63,18,5,0,52,22,0
51,52,48,5,5,0,51,22,0
55,49,5,46,5,0,52,25,0
5,46,52,16,5,0,52,26,0
5,53,45,44,5,0,49,22,0
45,59,53,74,5,0,47,25,0
57,61,55,67,5,0,48,22,0
54,45,62,13,5,0,52,26,0
47,63,66,45,5,0,37,11,0
51,34,43,18,5,0,48,25,0
56,45,59,14,5,0,51,26,0
45,38,59,18,5,0,44,45,0
43,51,6,25,5,0,55,22,0
47,59,43,13,5,0,56,3,1
4,45,42,17,5,0,54,26,1
89,81,36,71,5,0,55,63,0
58,55,52,22,5,0,44,22,0
59,57,46,14,5,0,52,22,0
49,41,32,21,5,0,5,32,1
5,46,42,32,5,0,56,55,1
68,5,43,27,5,0,61,22,0
46,41,5,44,5,0,53,22,0
32,36,34,19,5,0,55,26,1
4,51,42,13,5,0,45,25,1
65,61,39,3,5,0,57,28,1
47,43,35,32,5,0,54,22,1
42,25,6,14,5,0,45,22,0
23,34,41,28,5,0,5,27,0
34,31,6,37,5,0,5,3,0
67,63,34,41,5,0,6,33,0
54,51,54,52,5,0,47,25,0
53,5,54,56,5,0,49,41,0
84,63,38,23,5,0,53,22,0
89,77,36,34,5,0,44,22,0
36,35,47,22,5,0,44,31,1
57,49,48,16,5,0,51,22,0
43,52,53,52,10,0,49,22,0
38,49,54,10,5,0,5,27,0
43,32,56,27,5,0,47,27,0
27,56,56,18,5,0,52,22,0
89,82,6,49,5,0,55,22,0
86,92,5,37,10,0,53,32,0
37,55,29,32,5,0,51,22,1
87,83,57,36,5,0,36,22,0
52,48,54,28,5,0,54,22,0
76,74,56,34,5,0,51,3,0
58,76,4,37,5,0,54,3,0
94,6,33,49,5,0,54,22,0
42,51,39,22,5,0,49,26,1
52,48,58,55,5,0,48,22,0
42,32,48,16,5,0,55,22,0
48,57,52,61,5,0,51,22,0
83,53,52,2,5,0,48,25,0
36,34,46,19,5,0,52,22,0
51,43,47,19,5,0,52,37,0
54,54,49,14,5,0,56,22,0
44,41,44,13,5,0,49,42,0
52,62,54,19,5,0,5,22,0
53,44,47,22,5,0,53,22,0
48,48,5,47,5,0,55,22,0
46,14,36,21,5,0,5,25,1
46,47,46,16,5,0,51,22,0
52,49,57,57,5,0,51,22,0
78,48,47,3,5,0,53,47,0
49,62,65,18,5,0,46,43,0
39,37,33,23,5,0,53,26,1
39,37,56,15,5,0,5,27,0
33,37,54,28,5,0,53,27,0
39,37,33,23,5,0,52,26,1
33,38,53,26,5,0,52,27,0
47,54,54,48,5,0,53,26,0
72,58,42,28,5,0,48,22,0
41,41,51,19,5,0,57,22,0
81,65,52,41,5,0,57,26,0
5,49,52,2,5,0,43,52,0
18,48,46,12,5,0,0,25,0
26,38,52,36,5,0,48,56,0
53,51,51,11,5,0,49,41,0
58,49,5,41,5,0,57,22,0
62,6,47,16,5,0,53,22,0
68,58,51,19,5,83,54,22,0
4,52,53,52,5,0,51,22,0
51,47,41,44,5,0,5,22,1
72,56,4,26,5,0,51,26,0
49,44,45,22,5,0,51,22,0
32,47,55,25,5,0,49,22,0
46,57,52,28,5,0,52,22,0
53,48,45,44,5,0,49,27,0
49,48,46,63,5,0,52,22,0
68,68,49,15,5,0,53,22,0
55,49,45,18,5,0,49,22,0
4,53,61,21,5,0,48,33,0
57,44,42,2,5,0,54,22,0
4,47,48,18,5,0,46,22,0
34,54,54,13,5,0,52,22,0
55,65,5,28,5,0,55,22,0
29,46,54,27,5,0,49,22,0
46,42,6,21,5,0,4,22,0
8,81,55,35,5,0,42,22,0
45,48,63,67,5,0,48,22,0
66,52,52,44,5,0,56,27,0
54,52,54,2,5,0,55,25,0
37,31,53,16,5,0,53,44,0
48,47,54,55,5,0,51,65,0
6,59,45,23,5,0,55,22,0
45,73,47,65,5,0,54,43,0
66,54,49,16,5,0,54,36,0
46,55,61,13,5,0,47,22,0
42,5,53,22,5,83,5,22,0
66,66,32,54,5,0,51,22,0
74,56,35,36,5,0,51,25,0
89,52,41,26,5,0,52,31,0
67,51,54,21,5,0,43,3,0
58,46,46,34,5,0,5,43,0
4,68,5,82,5,0,44,36,0
59,57,43,26,5,0,51,22,0
39,3,56,12,5,0,53,38,0
6,62,54,4,5,0,5,22,0
36,4,53,48,5,0,48,22,0
51,42,56,38,5,0,46,22,0
57,4,62,3,5,0,48,11,0
52,5,59,31,5,0,5,22,0
42,53,53,64,5,0,47,22,0
5,46,64,36,5,0,49,22,0
6,51,6,38,5,83,52,24,0
6,57,64,52,5,0,47,28,0
53,42,58,29,5,0,5,22,0
41,52,53,41,5,0,39,33,0
45,43,63,4,5,0,59,11,0
44,44,67,35,5,0,48,26,0
57,61,55,27,5,0,44,21,0
57,58,58,35,5,0,49,22,0
56,5,61,49,5,0,46,28,0
6,46,59,16,5,0,49,22,0
36,38,56,44,5,0,48,22,0
53,52,61,35,5,0,5,22,0
62,59,54,47,5,0,46,22,0
55,5,6,31,5,0,46,27,0
58,53,57,46,5,0,51,27,0
65,53,55,52,5,0,47,27,0
58,53,5,53,5,0,47,31,0
61,46,51,37,5,0,51,22,0
55,59,47,64,5,0,54,33,0
54,64,5,13,5,0,49,22,0
4,74,49,16,5,0,51,22,0
76,76,35,27,5,0,44,22,0
51,56,51,42,5,0,53,36,0
43,32,5,29,5,0,5,22,0
49,44,45,55,5,0,48,22,0
32,45,44,2,5,0,55,33,0
51,6,51,26,5,0,54,22,0
49,46,42,46,5,0,55,22,0
5,56,49,61,5,0,5,22,0
52,38,62,12,5,0,41,28,0
51,56,62,24,5,0,52,51,0
46,44,53,31,5,0,48,22,0
58,57,54,69,5,0,54,22,0
61,59,47,49,5,0,54,22,0
63,47,56,12,5,0,5,22,0
55,53,54,4,5,0,48,22,0
41,47,58,62,5,0,5,22,0
44,53,53,37,5,0,51,22,0
57,4,48,24,5,0,55,22,0
46,46,56,12,5,0,55,22,0
47,46,55,28,5,0,44,46,0
39,35,49,17,5,0,49,22,0
58,38,4,21,5,0,5,22,0
53,41,5,24,10,0,47,22,0
43,4,5,18,5,0,5,28,0
41,59,46,19,5,0,36,22,0
58,56,52,25,5,0,57,35,0
51,65,53,19,5,0,49,22,0
81,79,32,37,5,0,41,22,0
44,41,29,21,5,0,49,22,1
49,6,55,17,5,0,44,22,0
56,63,52,2,5,0,34,26,0
42,28,57,18,5,0,42,22,0
51,46,54,41,5,0,53,22,0
37,41,45,14,5,0,47,22,0
37,51,57,4,5,0,48,27,0
36,39,55,26,5,0,49,22,0
5,36,53,41,5,0,55,36,0
59,58,39,52,5,0,5,31,0
78,63,53,13,5,0,54,22,0
47,59,37,31,5,0,51,36,0
48,62,52,3,5,0,51,37,0
48,54,53,6,5,0,53,31,0
33,46,53,29,5,0,5,55,0
39,34,68,3,5,0,5,29,0
11,41,67,13,5,0,45,29,0
4,53,44,18,5,0,54,31,0
47,5,55,19,5,0,62,22,0
35,5,44,27,5,0,51,22,0
36,3,5,19,5,0,55,3,0
49,44,51,18,5,0,52,27,0
35,44,54,26,5,0,52,26,0
43,28,53,34,5,0,55,57,0
33,48,55,16,5,0,53,75,0
44,34,61,13,5,0,49,26,0
87,47,6,47,5,0,59,22,0
3,55,58,16,5,0,61,28,0
75,67,51,29,5,0,52,36,0
47,47,5,15,5,0,5,48,0
51,34,49,16,5,0,53,21,0
45,41,58,48,5,0,53,64,0
9,54,59,2,5,0,48,22,0
88,59,54,39,5,0,41,3,0
7,51,47,24,5,0,53,25,0
25,36,58,3,5,0,58,31,0
69,62,49,0,10,0,47,22,0
83,57,42,57,5,0,5,32,0
43,38,38,12,5,0,5,22,0
78,65,4,16,5,0,63,22,0
52,64,34,16,5,0,57,22,0
41,49,58,22,5,0,52,22,0
58,51,56,16,5,0,34,22,0
48,49,45,23,5,0,51,22,1
39,42,49,1,5,0,49,65,0
31,42,48,17,5,0,49,53,0
76,67,37,22,5,0,54,22,0
28,48,56,16,5,0,48,26,0
69,39,52,12,5,0,38,35,0
64,52,5,26,5,0,51,31,0
56,48,5,3,5,0,51,22,0
47,43,59,27,5,0,55,22,0
68,59,44,49,5,0,4,26,0
5,51,57,27,5,0,48,22,0
53,51,36,13,5,0,52,22,1
6,54,54,53,5,0,52,27,0
49,52,53,7,5,0,51,22,0
51,46,57,25,5,0,53,22,0
49,45,46,18,5,0,49,31,0
52,46,51,18,5,0,5,22,0
39,58,5,1,5,0,51,25,0
7,84,49,28,10,0,58,22,0
61,46,44,47,5,0,5,37,0
41,48,38,13,5,0,51,35,1
37,42,6,13,5,0,51,22,0
45,58,59,44,5,0,56,22,0
74,89,32,24,5,0,54,32,0
28,46,26,18,5,0,39,22,0
51,46,49,21,5,0,55,22,0
8,82,57,26,5,0,57,27,0
46,49,45,28,5,0,55,22,0
4,36,55,15,5,0,53,22,0
67,46,58,3,5,0,57,27,0
5,32,49,49,5,0,48,32,0
45,53,47,43,5,0,5,27,0
75,6,43,35,5,0,45,27,0
56,68,52,39,5,0,36,22,0
59,45,58,21,5,0,49,22,0
48,52,49,35,5,5,51,22,0
59,58,47,61,5,0,44,3,0
5,57,62,25,5,0,51,22,0
57,49,5,2,5,0,51,28,0
62,43,49,29,5,0,5,27,0
45,41,49,14,10,0,53,3,0
47,49,6,15,5,0,38,22,0
41,48,54,24,5,0,37,51,0
48,42,48,19,5,0,58,22,0
43,45,53,19,5,0,56,22,0
48,46,58,26,5,0,44,22,0
74,72,5,28,5,0,5,27,0
38,62,52,14,5,0,53,22,0
77,72,48,26,5,0,51,22,0
44,42,57,22,5,0,5,25,0
74,74,51,27,5,0,5,22,0
39,81,35,28,5,0,51,45,1
38,45,37,19,5,0,52,3,1
4,37,54,13,5,0,48,22,0
31,3,34,19,5,0,55,3,1
5,42,57,49,5,0,48,27,0
59,61,51,62,5,0,51,38,0
45,4,43,22,5,0,51,48,0
77,78,51,28,5,0,33,22,0
74,71,52,3,5,0,27,22,0
77,73,51,27,5,0,34,22,0
47,61,5,23,5,0,49,22,1
78,69,44,26,5,0,54,22,0
49,6,3,34,5,0,5,43,1
27,56,3,14,5,0,52,39,1
4,39,33,17,5,0,51,31,0
55,51,54,2,5,0,56,22,0
95,71,27,39,5,0,31,22,0
97,71,29,42,5,0,35,22,0
44,43,34,21,5,0,55,4,1
39,49,3,19,5,0,52,31,1
38,48,51,13,5,0,5,32,0
27,49,36,26,5,0,49,26,1
49,48,52,2,5,0,55,22,0
36,39,54,16,5,0,5,28,0
54,53,48,14,5,0,49,33,0
37,48,5,26,5,0,52,39,0
25,39,5,23,5,0,5,28,0
56,5,56,26,5,0,53,27,0
41,53,41,15,5,0,54,25,0
5,45,53,21,5,0,28,22,0
66,55,34,2,5,0,62,22,1
42,65,58,34,5,0,5,22,0
45,47,53,15,5,0,52,27,0
42,28,51,23,5,0,53,27,0
51,48,46,29,5,0,54,22,0
63,55,53,51,5,0,55,22,0
55,63,54,16,5,0,45,27,0
53,59,48,14,5,0,51,22,0
42,53,57,17,5,0,49,22,0
52,46,56,2,5,0,5,22,0
53,43,57,24,5,0,39,28,0
33,35,56,19,5,0,5,22,0
45,48,56,56,5,0,47,22,0
56,48,5,17,5,0,51,26,0
77,57,45,17,5,0,53,22,0
56,59,54,18,5,0,48,46,0
33,39,52,9,5,0,47,28,0
48,41,54,39,5,0,51,22,0
3,3,46,32,5,0,45,22,0
38,26,6,1,5,0,48,44,0
62,41,52,17,5,0,48,22,0
52,37,48,13,5,0,55,22,0
32,48,49,17,5,0,47,22,0
34,35,58,2,5,0,46,32,0
33,21,53,15,10,0,52,5,0
49,45,57,24,5,0,47,38,0
4,28,48,6,5,0,49,42,0
51,39,56,25,5,0,51,33,0
45,45,52,17,5,0,54,22,0
28,51,55,19,5,0,57,22,0
51,51,56,28,5,0,54,27,0
59,46,48,46,5,0,49,22,0
51,46,4,65,5,0,49,22,0
37,44,51,56,5,0,5,38,0
81,55,35,34,5,0,51,22,0
53,45,53,18,5,0,42,22,0
45,27,5,33,5,0,53,26,0
48,5,56,11,5,0,33,22,0
35,47,53,19,5,0,48,22,0
6,59,47,47,5,0,53,22,0
45,53,51,42,5,0,52,22,0
29,4,41,48,5,0,53,3,0
58,53,33,26,5,0,51,22,1
46,43,5,24,5,0,48,31,0
43,46,5,21,5,0,49,34,0
49,45,54,4,5,0,55,22,0
64,53,59,14,5,0,53,22,0
57,6,54,17,5,0,52,22,0
38,31,59,19,5,0,46,22,0
24,41,47,16,5,0,51,38,0
33,28,5,4,5,0,46,61,0
39,44,54,24,5,0,51,49,0
43,48,53,18,5,0,46,22,0
47,43,48,16,5,0,46,27,0
52,5,51,2,5,0,51,22,0
33,28,52,15,5,0,51,86,0
36,48,5,13,5,0,49,6,0
45,54,49,29,5,0,49,25,0
55,59,53,15,5,0,49,22,0
43,41,51,34,5,0,49,28,0
64,5,53,1,5,0,51,22,0
41,52,56,26,5,0,48,32,0
48,47,59,41,5,0,56,27,0
49,49,51,29,5,0,52,71,0
41,52,51,22,5,0,52,44,0
51,61,5,23,5,0,52,61,0
59,47,51,53,5,0,53,26,0
4,6,5,16,5,0,51,22,0
61,46,54,11,5,0,47,22,0
66,55,54,18,5,0,43,22,0
53,46,54,37,5,0,51,3,0
41,41,43,61,5,0,53,22,0
58,31,6,12,5,0,47,33,0
44,33,55,16,5,0,49,22,0
57,55,52,16,5,0,49,39,0
45,66,39,11,5,0,54,22,1
32,49,53,28,5,0,5,5,0
35,42,56,28,5,0,47,22,0
47,47,54,19,5,0,51,33,0
34,58,5,26,5,0,51,22,0
55,45,58,25,5,0,49,22,0
4,66,34,21,5,0,52,26,0
42,21,59,3,5,0,47,27,0
6,48,46,32,5,0,4,33,0
64,44,51,35,5,0,53,22,0
35,4,44,25,5,0,53,57,0
55,38,64,42,5,0,47,22,0
45,43,5,25,5,0,47,22,0
47,53,48,51,5,0,54,22,0
45,49,57,25,5,0,48,22,0
45,52,5,12,5,0,6,22,0
56,51,32,49,5,0,48,22,0
47,45,51,33,5,0,46,26,0
43,44,64,19,5,0,38,33,0
38,4,59,25,5,0,44,22,0
39,39,59,25,5,0,45,22,0
54,55,56,14,5,0,5,25,0
45,5,57,29,5,0,44,11,0
43,33,54,37,5,0,38,16,0
43,33,54,37,5,0,38,16,0
51,39,58,19,5,0,47,22,0
72,51,52,8,5,0,54,22,0
56,49,54,15,5,0,5,35,0
57,37,43,27,5,0,53,28,0
57,49,61,26,5,0,52,22,0
48,45,63,19,5,0,58,22,0
54,57,55,18,5,0,5,22,0
38,44,55,44,5,0,47,51,0
4,3,57,13,5,0,46,22,0
27,31,55,13,5,0,5,22,0
52,46,56,25,5,0,52,22,0
34,47,48,32,5,0,42,22,0
5,56,63,25,5,0,42,22,0
46,53,47,37,5,0,51,36,0
57,42,63,22,5,0,68,32,0
37,45,53,14,5,0,49,22,0
36,49,55,21,5,0,55,33,0
