 Alm, Mit, Pox,Mcg, Vac
46,63,0,49,52
49,15,0,68,53
45,18,0,55,49
61,21,0,4,48
42,2,0,57,54
48,18,0,4,46
54,13,0,34,52
5,28,0,55,55
54,27,0,29,49
6,21,0,46,4
55,35,0,8,42
63,67,0,45,48
52,44,0,66,56
54,2,0,54,55
53,16,0,37,53
54,55,0,48,51
45,23,0,6,55
47,65,0,45,54
49,16,0,66,54
61,13,0,46,47
53,22,83,42,5
32,54,0,66,51
35,36,0,74,51
41,26,0,89,52
54,21,0,67,43
46,34,0,58,5
5,82,0,4,44
43,26,0,59,51
56,12,0,39,53
54,4,0,6,5
53,48,0,36,48
56,38,0,51,46
62,3,0,57,48
59,31,0,52,5
53,64,0,42,47
64,36,0,5,49
6,38,83,6,52
64,52,0,6,47
58,29,0,53,5
53,41,0,41,39
63,4,0,45,59
67,35,0,44,48
55,27,0,57,44
58,35,0,57,49
61,49,0,56,46
59,16,0,6,49
56,44,0,36,48
61,35,0,53,5
54,47,0,62,46
6,31,0,55,46
57,46,0,58,51
55,52,0,65,47
5,53,0,58,47
51,37,0,61,51
47,64,0,55,54
5,13,0,54,49
49,16,0,4,51
35,27,0,76,44
51,42,0,51,53
5,29,0,43,5
45,55,0,49,48
44,2,0,32,55
51,26,0,51,54
42,46,0,49,55
49,61,0,5,5
62,12,0,52,41
62,24,0,51,52
53,31,0,46,48
54,69,0,58,54
47,49,0,61,54
56,12,0,63,5
54,4,0,55,48
58,62,0,41,5
53,37,0,44,51
48,24,0,57,55
56,12,0,46,55
55,28,0,47,44
49,17,0,39,49
4,21,0,58,5
5,24,0,53,47
5,18,0,43,5
46,19,0,41,36
52,25,0,58,57
53,19,0,51,49
32,37,0,81,41
29,21,0,44,49
55,17,0,49,44
52,2,0,56,34
57,18,0,42,42
54,41,0,51,53
45,14,0,37,47
57,4,0,37,48
55,26,0,36,49
53,41,0,5,55
39,52,0,59,5
53,13,0,78,54
37,31,0,47,51
52,3,0,48,51
53,6,0,48,53
53,29,0,33,5
68,3,0,39,5
67,13,0,11,45
44,18,0,4,54
55,19,0,47,62
44,27,0,35,51
5,19,0,36,55
51,18,0,49,52
54,26,0,35,52
53,34,0,43,55
55,16,0,33,53
61,13,0,44,49
6,47,0,87,59
58,16,0,3,61
51,29,0,75,52
5,15,0,47,5
49,16,0,51,53
58,48,0,45,53
59,2,0,9,48
54,39,0,88,41
47,24,0,7,53
58,3,0,25,58
49,0,0,69,47
42,57,0,83,5
38,12,0,43,5
4,16,0,78,63
34,16,0,52,57
58,22,0,41,52
56,16,0,58,34
45,23,0,48,51
49,1,0,39,49
48,17,0,31,49
37,22,0,76,54
56,16,0,28,48
52,12,0,69,38
5,26,0,64,51
5,3,0,56,51
59,27,0,47,55
44,49,0,68,4
57,27,0,5,48
36,13,0,53,52
54,53,0,6,52
53,7,0,49,51
57,25,0,51,53
46,18,0,49,49
51,18,0,52,5
5,1,0,39,51
49,28,0,7,58
44,47,0,61,5
38,13,0,41,51
6,13,0,37,51
59,44,0,45,56
32,24,0,74,54
26,18,0,28,39
49,21,0,51,55
57,26,0,8,57
45,28,0,46,55
55,15,0,4,53
58,3,0,67,57
49,49,0,5,48
47,43,0,45,5
43,35,0,75,45
52,39,0,56,36
58,21,0,59,49
49,35,5,48,51
47,61,0,59,44
62,25,0,5,51
5,2,0,57,51
49,29,0,62,5
49,14,0,45,53
6,15,0,47,38
54,24,0,41,37
48,19,0,48,58
53,19,0,43,56
58,26,0,48,44
5,28,0,74,5
52,14,0,38,53
48,26,0,77,51
57,22,0,44,5
51,27,0,74,5
35,28,0,39,51
37,19,0,38,52
54,13,0,4,48
34,19,0,31,55
57,49,0,5,48
51,62,0,59,51
43,22,0,45,51
51,28,0,77,33
52,3,0,74,27
51,27,0,77,34
5,23,0,47,49
44,26,0,78,54
3,34,0,49,5
3,14,0,27,52
33,17,0,4,51
54,2,0,55,56
27,39,0,95,31
29,42,0,97,35
34,21,0,44,55
3,19,0,39,52
51,13,0,38,5
36,26,0,27,49
52,2,0,49,55
54,16,0,36,5
48,14,0,54,49
5,26,0,37,52
5,23,0,25,5
56,26,0,56,53
41,15,0,41,54
53,21,0,5,28
34,2,0,66,62
58,34,0,42,5
53,15,0,45,52
51,23,0,42,53
46,29,0,51,54
53,51,0,63,55
54,16,0,55,45
48,14,0,53,51
57,17,0,42,49
56,2,0,52,5
57,24,0,53,39
56,19,0,33,5
56,56,0,45,47
5,17,0,56,51
45,17,0,77,53
54,18,0,56,48
52,9,0,33,47
54,39,0,48,51
46,32,0,3,45
6,1,0,38,48
52,17,0,62,48
48,13,0,52,55
49,17,0,32,47
58,2,0,34,46
53,15,0,33,52
57,24,0,49,47
48,6,0,4,49
56,25,0,51,51
52,17,0,45,54
55,19,0,28,57
56,28,0,51,54
48,46,0,59,49
4,65,0,51,49
51,56,0,37,5
35,34,0,81,51
53,18,0,53,42
5,33,0,45,53
56,11,0,48,33
53,19,0,35,48
47,47,0,6,53
51,42,0,45,52
41,48,0,29,53
33,26,0,58,51
5,24,0,46,48
5,21,0,43,49
54,4,0,49,55
59,14,0,64,53
54,17,0,57,52
59,19,0,38,46
47,16,0,24,51
5,4,0,33,46
54,24,0,39,51
53,18,0,43,46
48,16,0,47,46
51,2,0,52,51
52,15,0,33,51
5,13,0,36,49
49,29,0,45,49
53,15,0,55,49
51,34,0,43,49
53,1,0,64,51
56,26,0,41,48
59,41,0,48,56
51,29,0,49,52
51,22,0,41,52
5,23,0,51,52
51,53,0,59,53
5,16,0,4,51
54,11,0,61,47
54,18,0,66,43
54,37,0,53,51
43,61,0,41,53
6,12,0,58,47
55,16,0,44,49
52,16,0,57,49
39,11,0,45,54
53,28,0,32,5
56,28,0,35,47
54,19,0,47,51
5,26,0,34,51
58,25,0,55,49
34,21,0,4,52
59,3,0,42,47
46,32,0,6,4
51,35,0,64,53
44,25,0,35,53
64,42,0,55,47
5,25,0,45,47
48,51,0,47,54
57,25,0,45,48
5,12,0,45,6
32,49,0,56,48
51,33,0,47,46
64,19,0,43,38
59,25,0,38,44
59,25,0,39,45
56,14,0,54,5
57,29,0,45,44
54,37,0,43,38
54,37,0,43,38
58,19,0,51,47
52,8,0,72,54
54,15,0,56,5
43,27,0,57,53
61,26,0,57,52
63,19,0,48,58
55,18,0,54,5
55,44,0,38,47
57,13,0,4,46
55,13,0,27,5
56,25,0,52,52
48,32,0,34,42
63,25,0,5,42
47,37,0,46,51
63,22,0,57,68
53,14,0,37,49
55,21,0,36,55
5,16,0,29,51
51,15,0,37,58
48,42,0,35,47
69,18,0,46,3
69,18,0,46,3
52,3,0,57,37
52,3,0,57,37
48,12,0,59,54
48,12,0,59,54
59,17,0,61,44
56,19,0,61,53
56,19,0,61,53
52,18,0,44,5
64,48,0,37,36
63,38,0,72,4
63,38,0,72,4
64,45,0,44,53
55,27,0,58,48
67,12,0,43,43
5,26,0,58,52
53,22,0,38,48
61,29,0,4,44
61,29,0,4,44
65,4,0,34,32
65,4,0,34,32
79,79,0,43,22
10,8,0,35,13
47,35,0,56,52
55,48,0,54,47
56,2,0,35,49
58,16,0,48,45
48,1,0,48,55
55,23,0,69,73
49,36,0,42,57
53,27,0,44,49
52,19,0,56,52
45,22,0,46,41
61,22,0,52,45
54,21,0,32,4
54,21,0,32,4
52,33,0,48,51
54,22,0,46,48
54,22,0,46,48
64,13,0,42,49
59,41,0,46,53
59,41,0,46,53
57,19,0,39,44
57,19,0,39,43
52,44,0,38,54
52,44,0,38,54
58,17,0,51,47
54,22,0,57,5
62,23,0,5,35
6,36,0,53,5
62,43,0,37,44
52,14,0,6,46
52,29,0,42,42
58,23,0,49,47
51,38,0,37,44
4,8,0,57,47
55,28,0,34,51
44,27,0,77,48
53,14,0,59,48
48,23,0,5,53
38,41,0,39,5
52,14,0,56,51
47,49,0,52,54
49,56,0,56,49
4,56,0,54,51
47,52,0,47,54
51,16,0,46,56
44,2,0,55,56
56,9,0,49,46
53,12,0,38,55
52,13,0,55,53
58,17,0,46,55
52,19,0,34,53
5,21,0,44,54
32,22,0,56,5
47,9,0,41,49
53,3,0,44,53
32,27,0,51,54
51,2,0,46,51
35,26,0,55,49
37,12,0,65,52
56,17,0,41,56
38,14,0,39,5
46,15,0,37,51
57,18,0,59,51
5,24,0,48,54
63,2,0,39,43
54,25,0,47,54
4,36,0,77,38
33,23,0,42,39
47,29,0,48,46
57,34,0,54,49
53,24,0,7,48
34,31,0,85,57
53,44,0,47,53
47,21,0,53,53
34,19,0,7,53
67,7,0,42,42
53,18,0,47,47
53,23,0,4,44
55,31,0,42,43
49,22,0,42,55
47,22,0,47,53
57,15,0,56,54
48,13,0,32,53
56,25,0,46,43
57,17,0,47,52
52,13,0,37,42
38,22,0,46,39
53,33,0,8,51
36,37,0,52,52
68,36,0,19,49
53,15,0,64,53
36,33,0,4,51
51,2,0,47,52
58,18,0,48,38
34,13,0,57,53
32,13,0,23,53
51,26,0,54,52
24,2,0,27,49
22,18,0,25,46
51,29,0,39,54
55,24,0,33,45
38,18,0,37,51
47,18,0,43,47
57,6,0,66,19
6,18,0,33,51
54,11,0,51,6
57,17,0,54,44
38,28,0,45,53
58,4,0,54,46
45,23,0,46,48
6,23,0,4,52
58,18,0,52,34
58,18,0,52,34
51,19,0,5,53
51,18,0,57,51
46,28,0,44,45
5,28,0,46,5
49,46,0,77,38
46,21,0,38,52
51,16,83,32,55
52,17,0,27,49
45,13,0,52,48
45,15,0,37,49
67,37,0,37,56
54,18,0,44,49
36,24,0,48,54
45,22,0,59,45
59,25,0,73,51
5,17,0,5,46
51,16,0,23,53
56,16,0,52,55
42,18,0,49,58
54,11,0,6,51
53,2,0,55,4
51,24,0,47,54
59,27,0,53,45
54,32,0,31,53
48,18,0,25,42
47,15,0,55,47
61,21,0,61,55
51,22,0,5,46
49,24,0,62,51
46,17,0,56,49
55,16,0,52,53
51,18,0,53,52
51,26,0,51,51
51,18,0,53,51
63,11,0,44,49
49,45,0,51,48
47,12,0,38,47
6,14,0,19,2
21,14,0,25,41
53,39,0,7,59
38,17,0,4,57
63,25,0,36,3
41,19,0,49,48
55,19,0,3,53
32,3,0,88,52
52,21,0,45,54
38,35,0,46,49
67,61,0,55,49
72,26,0,28,49
53,17,0,66,47
56,29,0,48,51
49,22,0,33,55
32,11,0,58,49
46,24,0,74,5
58,22,0,75,49
58,16,0,58,51
55,21,0,51,52
41,32,0,43,52
55,13,0,41,55
46,0,0,23,43
45,32,0,25,4
55,44,0,38,48
54,38,0,61,54
37,33,0,48,44
5,19,0,47,51
52,16,0,55,49
61,17,0,41,5
53,16,0,41,55
27,28,0,78,56
31,17,0,31,52
49,16,0,44,48
46,37,0,48,46
46,22,0,5,53
47,16,0,62,52
52,18,0,5,52
47,21,0,59,47
49,2,0,39,53
52,24,0,49,5
49,42,0,59,52
5,43,0,57,53
5,44,0,61,53
52,13,0,49,51
56,15,0,45,52
48,11,0,63,51
53,34,0,52,52
55,33,0,54,55
45,25,0,55,51
63,2,0,58,5
57,1,0,63,52
56,15,0,54,57
65,14,0,41,49
5,15,0,47,49
52,13,0,33,51
59,17,0,42,51
55,4,0,54,53
57,15,0,31,5
5,19,0,38,44
62,26,0,33,55
5,19,0,38,44
58,19,0,47,44
52,18,0,32,48
5,14,0,28,5
57,25,0,41,57
51,16,0,44,58
51,16,0,44,6
53,15,0,4,49
42,26,0,79,6
43,24,0,8,54
51,12,0,55,51
53,12,0,47,51
63,22,0,57,49
59,21,0,52,47
53,17,0,41,48
5,19,0,45,53
42,43,0,49,5
49,27,0,44,52
53,17,0,25,45
54,18,0,49,35
54,17,0,42,51
75,21,0,42,48
53,27,0,63,49
48,27,0,54,44
5,13,0,4,52
39,47,0,55,5
41,53,0,59,48
49,15,0,49,53
52,29,0,53,55
53,12,0,33,5
51,25,0,57,54
44,26,0,59,5
48,34,0,5,52
6,2,0,52,52
57,17,0,59,52
53,19,0,53,47
55,17,0,59,52
5,58,0,61,5
56,17,0,5,35
61,33,0,36,52
48,12,0,52,54
51,25,0,56,54
49,27,0,47,59
36,26,0,43,52
57,28,0,5,57
62,3,0,46,38
46,19,0,59,54
5,13,0,27,54
44,17,0,42,51
47,28,0,49,56
48,19,0,34,46
63,22,0,6,5
54,52,0,53,49
56,23,0,48,6
56,9,0,47,5
58,44,0,4,41
45,14,0,5,53
6,18,0,55,51
5,9,0,55,55
6,25,0,66,69
48,55,0,51,52
55,14,0,44,52
52,15,0,6,55
58,12,0,48,49
32,15,0,57,52
32,16,0,4,51
52,16,0,5,51
47,22,0,65,52
54,16,0,25,43
52,21,0,63,5
42,36,0,56,49
48,17,0,57,52
51,13,0,46,47
57,17,0,5,59
35,25,0,78,49
52,17,0,64,54
29,36,0,10,52
56,55,0,51,46
36,9,0,69,56
36,15,0,49,52
41,27,0,39,49
43,22,0,45,57
27,37,0,77,49
41,36,0,88,43
4,2,0,49,48
6,28,0,57,52
49,27,0,53,51
46,22,0,33,53
46,29,0,45,42
37,15,0,26,53
46,18,0,28,47
43,16,0,45,52
57,28,0,24,51
55,29,0,46,49
36,22,0,22,54
47,14,0,25,56
37,18,0,43,54
47,25,0,4,54
38,12,0,46,5
46,36,0,29,51
43,19,83,4,48
46,2,83,57,52
37,12,0,77,49
32,27,0,47,5
49,23,0,71,3
49,49,0,59,36
52,7,0,58,46
41,17,0,3,51
32,2,0,74,55
36,29,0,55,51
31,16,0,35,56
39,24,0,67,51
39,19,0,69,48
53,27,0,47,47
34,18,0,39,49
42,21,0,51,46
39,14,0,32,45
35,33,0,75,49
56,18,0,54,46
42,28,0,71,43
36,16,0,28,53
45,32,0,58,52
36,26,0,52,44
56,15,0,64,56
47,17,0,48,53
44,37,0,4,53
38,16,0,38,53
43,25,0,8,52
42,18,0,63,54
63,19,0,47,52
32,21,0,83,51
33,23,0,39,47
45,13,0,5,45
5,29,0,2,51
43,17,0,29,55
52,23,0,92,53
37,2,0,49,53
34,15,0,86,53
57,14,0,38,53
41,28,0,72,44
47,19,0,8,49
35,23,0,49,57
44,53,0,63,52
3,27,0,6,55
49,17,0,4,51
46,13,0,51,48
34,2,0,52,51
51,15,0,34,54
46,14,0,35,54
49,16,0,58,47
3,31,0,85,55
59,44,0,41,6
4,45,0,3,48
39,19,0,38,46
58,19,0,47,57
44,2,0,5,49
46,23,0,41,5
46,54,0,46,51
58,69,0,52,5
5,14,0,41,53
52,15,0,25,56
38,39,0,58,54
47,18,0,39,48
47,18,0,38,44
5,48,0,63,51
62,25,0,51,59
54,19,0,59,48
54,11,0,6,46
57,17,0,48,45
5,18,0,71,46
54,25,0,61,5
64,41,0,38,44
66,35,0,38,43
43,17,0,81,53
61,4,0,47,48
36,19,0,67,56
54,13,0,65,53
47,13,0,58,48
48,27,0,43,53
54,21,0,43,53
52,46,0,6,53
6,18,0,57,51
57,24,0,63,49
36,39,0,8,56
47,34,0,74,42
45,3,0,72,54
57,18,0,4,56
51,4,0,86,55
41,28,0,79,59
56,18,0,37,48
48,67,0,45,52
59,19,0,41,58
44,8,0,54,52
47,37,0,81,56
56,55,0,49,42
54,4,0,63,5
46,46,0,5,46
4,43,83,67,5
52,41,0,42,53
64,16,0,33,52
39,33,0,61,58
54,18,0,42,56
55,46,0,55,52
54,43,0,67,53
54,16,0,35,51
5,17,0,48,53
56,1,0,42,49
53,16,0,49,48
48,43,0,71,59
71,21,0,4,54
5,12,0,42,52
61,23,0,48,6
5,15,0,32,53
52,28,0,59,55
31,33,0,61,56
54,53,0,52,45
58,49,0,58,49
38,33,0,46,48
62,12,0,42,4
45,45,0,49,52
49,21,0,35,54
6,12,0,52,55
58,23,0,77,48
58,25,0,78,53
59,24,0,57,4
75,17,0,38,55
75,17,0,38,55
48,14,0,4,47
57,36,0,45,52
38,8,0,36,53
6,33,0,27,37
53,2,0,23,44
49,16,0,36,51
59,22,0,38,46
54,26,0,41,41
52,9,0,5,48
49,79,0,46,49
59,12,0,61,49
54,32,0,45,57
39,27,0,71,52
41,22,0,63,51
38,18,0,58,52
55,12,0,32,52
51,4,0,77,54
41,36,0,81,39
51,13,83,69,52
47,25,0,74,57
36,3,0,35,53
54,29,0,51,53
48,17,0,5,47
52,2,0,45,5
47,13,0,42,5
47,35,0,27,49
34,13,0,49,52
54,17,0,49,5
51,16,0,34,47
5,8,0,74,55
38,15,0,69,55
48,38,0,44,52
48,24,0,58,52
61,13,0,38,54
63,17,0,47,31
49,16,0,21,51
5,58,0,57,53
56,16,0,46,56
56,19,0,56,54
49,16,0,61,54
52,17,0,66,49
58,2,0,44,57
37,12,0,43,48
3,17,0,45,51
53,28,0,67,51
47,22,0,35,5
35,33,0,35,5
61,13,0,42,14
49,3,0,5,47
37,37,0,7,48
32,37,0,81,51
33,38,0,85,55
47,26,0,59,53
38,36,0,7,54
45,17,0,48,48
45,54,0,84,28
54,14,0,43,5
42,33,0,77,57
57,18,0,36,42
51,24,0,43,46
38,18,0,46,49
55,65,0,68,46
48,17,0,5,5
43,17,0,44,54
56,2,0,62,48
58,17,0,46,61
62,19,0,5,57
57,24,0,48,5
54,66,0,5,49
42,22,0,7,51
35,21,0,47,52
55,2,0,43,47
49,33,0,79,48
59,47,0,5,49
59,13,0,43,41
58,2,0,41,52
64,14,0,45,54
61,33,0,58,38
56,21,0,64,5
54,41,0,38,51
51,43,0,51,49
57,12,0,53,53
5,27,0,63,55
52,45,0,6,5
51,49,0,53,54
51,17,0,36,6
49,24,0,45,46
55,24,0,29,51
51,18,0,64,46
64,39,0,75,46
54,14,0,39,59
57,18,83,49,54
54,16,0,5,49
61,2,0,45,62
53,16,0,49,49
52,1,0,55,53
45,19,0,33,54
59,35,0,48,55
6,2,0,26,54
53,23,0,46,51
55,15,0,28,57
5,28,0,74,49
43,18,0,53,53
53,77,0,47,52
39,18,0,37,51
54,13,0,49,58
48,36,0,46,48
48,13,0,75,57
5,3,0,69,54
54,25,0,46,46
5,15,0,68,48
49,32,0,48,5
38,15,0,36,55
56,18,0,48,58
51,26,0,61,52
52,3,0,5,56
44,31,0,68,51
53,14,0,61,43
59,8,0,39,51
56,18,0,51,5
55,28,0,31,46
53,17,0,54,51
5,28,0,49,43
53,19,0,44,41
58,1,0,46,48
58,22,0,57,51
5,22,0,37,47
64,37,0,5,37
57,29,0,45,44
57,36,0,61,44
57,36,0,61,44
53,27,0,35,47
47,19,0,34,5
55,24,0,44,48
65,18,0,31,46
54,24,0,38,54
52,18,0,36,45
45,26,0,63,43
45,26,0,63,43
67,12,0,43,45
10,8,0,35,13
47,41,0,56,5
52,19,0,66,69
47,2,0,73,72
56,21,0,78,69
46,5,0,47,51
61,22,0,52,45
65,28,0,41,59
6,36,0,53,5
62,43,0,37,44
58,8,0,41,51
5,28,0,51,48
33,18,0,39,53
55,18,0,46,56
55,57,0,53,46
49,18,0,6,53
49,18,0,85,51
46,14,0,58,51
