 Alm, Mit, Pox,Mcg, Vac, Gvh, Nuc, Erl
53,16,0,4,52,38,27,5
48,53,0,46,53,71,22,5
55,5,0,53,45,51,25,5
59,47,0,41,48,4,43,5
57,15,0,5,47,64,22,5
52,31,0,4,49,62,31,5
57,25,0,6,41,5,26,5
52,42,0,62,54,51,27,5
5,21,0,34,54,54,31,5
5,26,0,39,54,58,59,5
58,15,0,29,5,32,3,5
64,3,0,47,63,32,22,5
56,16,0,39,47,47,22,5
51,47,0,58,55,48,22,5
57,19,0,64,43,6,22,5
4,27,0,37,45,46,22,5
53,16,0,43,54,57,22,5
61,9,0,28,52,37,55,5
5,14,0,59,45,48,25,5
48,31,0,39,54,55,29,5
47,34,0,26,53,36,72,5
5,19,0,51,5,34,22,5
5,12,0,58,48,5,25,5
53,14,0,44,54,39,44,5
44,34,0,41,48,39,4,5
51,24,0,45,54,43,33,5
46,16,0,36,53,68,28,5
5,15,0,42,53,31,22,5
52,65,0,67,53,71,36,5
71,21,0,4,54,42,32,5
49,2,0,54,52,49,22,5
53,18,0,57,56,51,25,5
43,11,0,35,56,45,22,5
42,2,0,42,49,42,22,5
33,28,0,26,51,5,22,5
38,4,0,39,49,42,47,5
3,11,0,26,51,44,47,5
53,23,0,31,51,44,32,5
44,2,0,48,47,61,22,5
5,23,0,66,49,45,22,5
55,11,0,21,5,41,27,5
44,45,0,38,53,68,22,5
48,32,83,44,53,38,22,5
56,33,0,31,52,31,33,5
49,35,0,49,51,31,29,5
56,21,0,38,49,37,22,5
53,67,0,39,47,4,22,5
69,18,0,24,52,34,22,5
51,13,0,49,47,43,22,5
52,18,0,54,48,38,22,5
53,53,0,43,53,57,25,5
52,17,0,31,52,55,22,5
52,24,0,32,6,42,22,5
51,11,0,37,57,42,22,5
38,27,0,75,49,7,22,5
6,21,0,44,57,42,22,5
51,54,0,52,55,51,27,5
45,58,0,63,51,56,22,5
34,29,0,72,56,62,28,5
37,3,0,72,57,61,22,5
44,37,0,57,52,57,25,5
41,65,0,42,46,58,26,5
34,22,0,59,51,61,22,5
38,34,0,52,51,77,22,5
6,51,0,5,48,52,22,5
43,56,0,49,36,6,22,5
44,5,0,5,42,41,22,5
56,7,0,5,5,4,22,5
44,51,0,37,44,58,22,5
45,54,0,55,5,45,22,5
46,29,0,67,46,68,22,5
46,28,0,53,48,51,22,5
59,49,0,47,56,46,22,5
43,3,0,73,55,83,22,5
54,28,0,7,6,65,4,5
37,14,0,47,5,54,22,5
48,17,0,56,46,52,22,5
58,21,0,56,42,41,22,5
45,12,0,58,51,56,22,5
66,25,0,53,43,38,22,5
54,11,0,34,36,36,21,5
38,27,0,69,52,61,22,5
6,19,5,37,42,53,22,5
53,17,0,41,51,45,25,5
54,52,0,31,5,46,34,5
33,14,0,36,57,37,31,5
49,23,0,82,46,78,22,5
54,23,0,82,46,75,22,5
58,15,0,41,45,51,27,5
51,33,0,53,52,44,22,5
71,15,0,46,59,54,22,5
6,13,0,53,49,53,22,5
72,22,0,42,57,57,22,5
52,14,0,2,53,26,44,5
55,14,0,51,51,53,22,5
45,51,0,44,52,68,41,5
66,11,0,27,44,39,22,5
34,3,0,55,52,42,22,5
3,23,0,34,53,42,22,5
52,23,83,44,51,53,22,5
56,21,0,59,54,58,33,5
46,12,0,39,41,28,22,5
54,16,0,56,5,43,22,5
59,22,0,35,47,4,37,5
5,21,0,42,51,32,22,5
56,22,0,55,5,54,37,5
5,15,0,8,53,46,22,5
47,2,0,6,5,56,38,5
54,62,0,47,53,65,36,5
54,14,0,43,47,39,22,5
52,21,0,53,55,61,3,5
41,16,0,54,52,42,22,5
53,16,0,46,51,35,29,5
35,16,0,51,51,55,47,5
55,19,0,56,54,52,22,5
46,23,0,37,47,53,22,5
33,4,0,83,53,58,22,5
53,18,0,39,54,45,22,5
5,21,0,52,48,54,3,5
57,11,0,35,48,39,22,5
3,22,0,36,52,49,31,5
32,23,0,78,53,7,22,5
53,11,0,55,52,46,48,5
53,32,0,45,57,56,22,5
4,15,0,29,53,43,22,5
37,14,0,52,46,75,22,5
43,12,0,58,55,6,22,5
49,34,0,54,52,65,22,5
44,16,0,57,52,59,22,5
46,19,0,59,56,58,27,5
4,22,0,92,54,61,22,5
45,14,0,55,54,56,22,5
43,19,0,36,48,46,22,5
45,19,0,34,51,38,22,5
46,13,0,62,53,58,22,5
42,19,0,53,53,68,22,5
41,16,0,73,46,55,22,5
46,31,0,55,58,46,48,5
47,13,0,35,52,6,43,5
47,37,0,77,48,87,22,5
49,15,0,35,55,46,35,10
48,14,0,43,5,51,22,5
45,26,0,57,5,61,22,5
42,12,0,63,52,62,25,5
51,18,0,25,5,4,27,5
53,24,0,56,57,62,22,5
51,24,0,58,53,6,22,5
53,15,0,71,49,59,33,5
33,17,0,46,55,35,22,5
42,22,0,54,48,55,22,5
28,12,0,39,46,44,27,5
49,8,0,33,48,44,49,5
44,21,0,46,55,48,22,5
57,17,0,35,52,36,22,5
52,19,0,54,59,57,67,5
4,17,0,42,5,52,26,5
34,47,0,91,52,77,31,5
39,41,0,81,53,9,22,5
56,14,0,45,54,4,22,5
58,16,0,47,49,47,28,5
51,52,0,41,49,39,22,5
32,22,0,37,56,34,22,5
5,31,0,69,55,6,22,5
36,78,0,84,49,66,5,5
62,27,0,37,48,43,22,5
57,32,0,55,57,66,34,5
42,21,0,48,57,35,22,5
52,15,0,62,52,58,29,5
53,16,0,56,24,59,42,5
37,15,0,44,51,51,22,5
49,15,0,44,46,44,27,5
49,3,0,6,53,6,22,5
34,21,0,49,55,46,22,5
57,4,0,35,53,68,36,5
43,33,0,7,58,69,22,5
58,22,0,23,48,3,27,5
46,15,0,51,51,35,42,5
52,2,0,32,52,38,28,5
52,3,0,59,46,65,31,5
41,11,0,41,54,52,35,5
5,12,0,37,51,33,54,5
49,17,0,45,52,56,22,5
59,14,0,56,52,54,27,5
54,18,0,31,52,31,29,5
57,18,0,54,45,56,25,5
45,9,0,17,54,38,27,5
54,15,0,43,45,51,26,5
59,18,0,6,48,4,22,5
57,45,0,91,56,69,22,5
53,12,0,38,48,47,22,5
52,19,0,59,55,43,27,5
45,13,0,64,53,53,22,5
51,12,0,52,51,51,4,5
48,15,0,49,55,43,25,5
52,16,0,49,53,47,28,5
49,18,0,48,51,39,22,5
55,18,0,44,52,34,22,5
58,16,0,43,5,54,36,5
33,1,0,2,48,34,31,5
47,11,0,3,46,5,22,5
5,17,0,31,49,45,22,5
56,21,0,55,52,41,22,5
52,17,0,4,47,34,51,5
5,17,0,4,54,48,5,5
56,1,0,58,46,48,25,5
56,12,0,58,46,48,25,5
51,26,0,58,51,41,37,5
53,29,0,41,47,6,43,5
49,42,0,69,49,5,22,5
44,52,0,6,54,48,63,5
55,11,0,28,46,51,22,5
63,39,0,56,59,57,4,10
57,15,0,46,52,57,26,5
54,22,0,43,57,42,33,5
47,14,0,48,47,34,26,5
53,18,0,35,42,4,38,5
53,62,0,47,46,45,22,5
47,15,0,53,58,43,22,5
62,14,0,44,55,42,37,5
58,24,0,37,44,34,18,5
58,24,0,37,44,34,18,5
55,52,0,39,37,39,16,5
55,52,0,39,37,39,16,5
38,29,0,48,53,46,22,5
5,9,0,48,52,57,42,5
45,21,0,61,5,57,42,5
3,35,0,51,53,63,27,5
34,42,0,53,54,68,27,5
64,35,0,37,47,22,22,5
58,22,0,51,5,48,28,5
59,17,0,49,51,37,22,5
58,22,0,51,5,48,28,5
53,17,0,53,49,53,37,5
47,26,0,29,47,68,37,5
49,15,0,5,55,45,43,5
31,24,0,33,53,28,22,5
3,31,0,85,55,85,42,5
51,28,0,43,4,39,22,5
61,19,0,34,52,35,25,5
56,29,0,55,48,53,22,5
34,25,0,37,51,62,22,5
51,64,0,45,54,56,22,5
52,75,0,38,5,46,26,5
49,19,0,61,54,54,47,5
52,37,0,44,5,53,22,5
52,37,0,44,5,53,22,5
61,17,0,32,52,34,32,5
61,18,0,34,52,34,32,5
49,59,0,51,54,68,27,5
49,28,0,41,54,3,22,5
5,28,0,41,5,43,22,5
34,26,0,3,51,5,22,5
34,26,0,49,5,4,22,5
3,23,0,34,51,4,22,5
3,18,0,43,51,44,22,5
3,17,0,45,51,57,22,5
33,17,0,42,54,44,27,5
53,1,0,52,48,5,22,5
49,46,0,53,52,56,22,5
54,62,0,45,53,54,22,5
63,18,0,51,52,43,22,5
48,5,0,51,51,52,22,5
5,46,0,55,52,49,25,5
52,16,0,5,52,46,26,5
45,44,0,5,49,53,22,5
53,74,0,45,47,59,25,5
55,67,0,57,48,61,22,5
62,13,0,54,52,45,26,5
66,45,0,47,37,63,11,5
43,18,0,51,48,34,25,5
59,14,0,56,51,45,26,5
59,18,0,45,44,38,45,5
6,25,0,43,55,51,22,5
43,13,0,47,56,59,3,5
42,17,0,4,54,45,26,5
36,71,0,89,55,81,63,5
52,22,0,58,44,55,22,5
46,14,0,59,52,57,22,5
32,21,0,49,5,41,32,5
42,32,0,5,56,46,55,5
43,27,0,68,61,5,22,5
5,44,0,46,53,41,22,5
34,19,0,32,55,36,26,5
42,13,0,4,45,51,25,5
39,3,0,65,57,61,28,5
35,32,0,47,54,43,22,5
6,14,0,42,45,25,22,5
41,28,0,23,5,34,27,5
6,37,0,34,5,31,3,5
34,41,0,67,6,63,33,5
54,52,0,54,47,51,25,5
54,56,0,53,49,5,41,5
38,23,0,84,53,63,22,5
36,34,0,89,44,77,22,5
47,22,0,36,44,35,31,5
48,16,0,57,51,49,22,5
53,52,0,43,49,52,22,10
54,10,0,38,5,49,27,5
56,27,0,43,47,32,27,5
56,18,0,27,52,56,22,5
6,49,0,89,55,82,22,5
5,37,0,86,53,92,32,10
29,32,0,37,51,55,22,5
57,36,0,87,36,83,22,5
54,28,0,52,54,48,22,5
56,34,0,76,51,74,3,5
4,37,0,58,54,76,3,5
33,49,0,94,54,6,22,5
39,22,0,42,49,51,26,5
58,55,0,52,48,48,22,5
48,16,0,42,55,32,22,5
52,61,0,48,51,57,22,5
52,2,0,83,48,53,25,5
46,19,0,36,52,34,22,5
47,19,0,51,52,43,37,5
49,14,0,54,56,54,22,5
44,13,0,44,49,41,42,5
54,19,0,52,5,62,22,5
47,22,0,53,53,44,22,5
5,47,0,48,55,48,22,5
36,21,0,46,5,14,25,5
46,16,0,46,51,47,22,5
57,57,0,52,51,49,22,5
47,3,0,78,53,48,47,5
65,18,0,49,46,62,43,5
33,23,0,39,53,37,26,5
56,15,0,39,5,37,27,5
54,28,0,33,53,37,27,5
33,23,0,39,52,37,26,5
53,26,0,33,52,38,27,5
54,48,0,47,53,54,26,5
42,28,0,72,48,58,22,5
51,19,0,41,57,41,22,5
52,41,0,81,57,65,26,5
52,2,0,5,43,49,52,5
46,12,0,18,0,48,25,5
52,36,0,26,48,38,56,5
51,11,0,53,49,51,41,5
5,41,0,58,57,49,22,5
47,16,0,62,53,6,22,5
51,19,83,68,54,58,22,5
53,52,0,4,51,52,22,5
41,44,0,51,5,47,22,5
4,26,0,72,51,56,26,5
45,22,0,49,51,44,22,5
55,25,0,32,49,47,22,5
52,28,0,46,52,57,22,5
45,44,0,53,49,48,27,5
46,63,0,49,52,48,22,5
49,15,0,68,53,68,22,5
45,18,0,55,49,49,22,5
61,21,0,4,48,53,33,5
42,2,0,57,54,44,22,5
48,18,0,4,46,47,22,5
54,13,0,34,52,54,22,5
5,28,0,55,55,65,22,5
54,27,0,29,49,46,22,5
6,21,0,46,4,42,22,5
55,35,0,8,42,81,22,5
63,67,0,45,48,48,22,5
52,44,0,66,56,52,27,5
54,2,0,54,55,52,25,5
53,16,0,37,53,31,44,5
54,55,0,48,51,47,65,5
45,23,0,6,55,59,22,5
47,65,0,45,54,73,43,5
49,16,0,66,54,54,36,5
61,13,0,46,47,55,22,5
53,22,83,42,5,5,22,5
32,54,0,66,51,66,22,5
35,36,0,74,51,56,25,5
41,26,0,89,52,52,31,5
54,21,0,67,43,51,3,5
46,34,0,58,5,46,43,5
5,82,0,4,44,68,36,5
43,26,0,59,51,57,22,5
56,12,0,39,53,3,38,5
54,4,0,6,5,62,22,5
53,48,0,36,48,4,22,5
56,38,0,51,46,42,22,5
62,3,0,57,48,4,11,5
59,31,0,52,5,5,22,5
53,64,0,42,47,53,22,5
64,36,0,5,49,46,22,5
6,38,83,6,52,51,24,5
64,52,0,6,47,57,28,5
58,29,0,53,5,42,22,5
53,41,0,41,39,52,33,5
63,4,0,45,59,43,11,5
67,35,0,44,48,44,26,5
55,27,0,57,44,61,21,5
58,35,0,57,49,58,22,5
61,49,0,56,46,5,28,5
59,16,0,6,49,46,22,5
56,44,0,36,48,38,22,5
61,35,0,53,5,52,22,5
54,47,0,62,46,59,22,5
6,31,0,55,46,5,27,5
57,46,0,58,51,53,27,5
55,52,0,65,47,53,27,5
5,53,0,58,47,53,31,5
51,37,0,61,51,46,22,5
47,64,0,55,54,59,33,5
5,13,0,54,49,64,22,5
49,16,0,4,51,74,22,5
35,27,0,76,44,76,22,5
51,42,0,51,53,56,36,5
5,29,0,43,5,32,22,5
45,55,0,49,48,44,22,5
44,2,0,32,55,45,33,5
51,26,0,51,54,6,22,5
42,46,0,49,55,46,22,5
49,61,0,5,5,56,22,5
62,12,0,52,41,38,28,5
62,24,0,51,52,56,51,5
53,31,0,46,48,44,22,5
54,69,0,58,54,57,22,5
47,49,0,61,54,59,22,5
56,12,0,63,5,47,22,5
54,4,0,55,48,53,22,5
58,62,0,41,5,47,22,5
53,37,0,44,51,53,22,5
48,24,0,57,55,4,22,5
56,12,0,46,55,46,22,5
55,28,0,47,44,46,46,5
49,17,0,39,49,35,22,5
4,21,0,58,5,38,22,5
5,24,0,53,47,41,22,10
5,18,0,43,5,4,28,5
46,19,0,41,36,59,22,5
52,25,0,58,57,56,35,5
53,19,0,51,49,65,22,5
32,37,0,81,41,79,22,5
29,21,0,44,49,41,22,5
55,17,0,49,44,6,22,5
52,2,0,56,34,63,26,5
57,18,0,42,42,28,22,5
54,41,0,51,53,46,22,5
45,14,0,37,47,41,22,5
57,4,0,37,48,51,27,5
55,26,0,36,49,39,22,5
53,41,0,5,55,36,36,5
39,52,0,59,5,58,31,5
53,13,0,78,54,63,22,5
37,31,0,47,51,59,36,5
52,3,0,48,51,62,37,5
53,6,0,48,53,54,31,5
53,29,0,33,5,46,55,5
68,3,0,39,5,34,29,5
67,13,0,11,45,41,29,5
44,18,0,4,54,53,31,5
55,19,0,47,62,5,22,5
44,27,0,35,51,5,22,5
5,19,0,36,55,3,3,5
51,18,0,49,52,44,27,5
54,26,0,35,52,44,26,5
53,34,0,43,55,28,57,5
55,16,0,33,53,48,75,5
61,13,0,44,49,34,26,5
6,47,0,87,59,47,22,5
58,16,0,3,61,55,28,5
51,29,0,75,52,67,36,5
5,15,0,47,5,47,48,5
49,16,0,51,53,34,21,5
58,48,0,45,53,41,64,5
59,2,0,9,48,54,22,5
54,39,0,88,41,59,3,5
47,24,0,7,53,51,25,5
58,3,0,25,58,36,31,5
49,0,0,69,47,62,22,10
42,57,0,83,5,57,32,5
38,12,0,43,5,38,22,5
4,16,0,78,63,65,22,5
34,16,0,52,57,64,22,5
58,22,0,41,52,49,22,5
56,16,0,58,34,51,22,5
45,23,0,48,51,49,22,5
49,1,0,39,49,42,65,5
48,17,0,31,49,42,53,5
37,22,0,76,54,67,22,5
56,16,0,28,48,48,26,5
52,12,0,69,38,39,35,5
5,26,0,64,51,52,31,5
5,3,0,56,51,48,22,5
59,27,0,47,55,43,22,5
44,49,0,68,4,59,26,5
57,27,0,5,48,51,22,5
36,13,0,53,52,51,22,5
54,53,0,6,52,54,27,5
53,7,0,49,51,52,22,5
57,25,0,51,53,46,22,5
46,18,0,49,49,45,31,5
51,18,0,52,5,46,22,5
5,1,0,39,51,58,25,5
49,28,0,7,58,84,22,10
44,47,0,61,5,46,37,5
38,13,0,41,51,48,35,5
6,13,0,37,51,42,22,5
59,44,0,45,56,58,22,5
32,24,0,74,54,89,32,5
26,18,0,28,39,46,22,5
49,21,0,51,55,46,22,5
57,26,0,8,57,82,27,5
45,28,0,46,55,49,22,5
55,15,0,4,53,36,22,5
58,3,0,67,57,46,27,5
49,49,0,5,48,32,32,5
47,43,0,45,5,53,27,5
43,35,0,75,45,6,27,5
52,39,0,56,36,68,22,5
58,21,0,59,49,45,22,5
49,35,5,48,51,52,22,5
47,61,0,59,44,58,3,5
62,25,0,5,51,57,22,5
5,2,0,57,51,49,28,5
49,29,0,62,5,43,27,5
49,14,0,45,53,41,3,10
6,15,0,47,38,49,22,5
54,24,0,41,37,48,51,5
48,19,0,48,58,42,22,5
53,19,0,43,56,45,22,5
58,26,0,48,44,46,22,5
5,28,0,74,5,72,27,5
52,14,0,38,53,62,22,5
48,26,0,77,51,72,22,5
57,22,0,44,5,42,25,5
51,27,0,74,5,74,22,5
35,28,0,39,51,81,45,5
37,19,0,38,52,45,3,5
54,13,0,4,48,37,22,5
34,19,0,31,55,3,3,5
57,49,0,5,48,42,27,5
51,62,0,59,51,61,38,5
43,22,0,45,51,4,48,5
51,28,0,77,33,78,22,5
52,3,0,74,27,71,22,5
51,27,0,77,34,73,22,5
5,23,0,47,49,61,22,5
44,26,0,78,54,69,22,5
3,34,0,49,5,6,43,5
3,14,0,27,52,56,39,5
33,17,0,4,51,39,31,5
54,2,0,55,56,51,22,5
27,39,0,95,31,71,22,5
29,42,0,97,35,71,22,5
34,21,0,44,55,43,4,5
3,19,0,39,52,49,31,5
51,13,0,38,5,48,32,5
36,26,0,27,49,49,26,5
52,2,0,49,55,48,22,5
54,16,0,36,5,39,28,5
48,14,0,54,49,53,33,5
5,26,0,37,52,48,39,5
5,23,0,25,5,39,28,5
56,26,0,56,53,5,27,5
41,15,0,41,54,53,25,5
53,21,0,5,28,45,22,5
34,2,0,66,62,55,22,5
58,34,0,42,5,65,22,5
53,15,0,45,52,47,27,5
51,23,0,42,53,28,27,5
46,29,0,51,54,48,22,5
53,51,0,63,55,55,22,5
54,16,0,55,45,63,27,5
48,14,0,53,51,59,22,5
57,17,0,42,49,53,22,5
56,2,0,52,5,46,22,5
57,24,0,53,39,43,28,5
56,19,0,33,5,35,22,5
56,56,0,45,47,48,22,5
5,17,0,56,51,48,26,5
45,17,0,77,53,57,22,5
54,18,0,56,48,59,46,5
52,9,0,33,47,39,28,5
54,39,0,48,51,41,22,5
46,32,0,3,45,3,22,5
6,1,0,38,48,26,44,5
52,17,0,62,48,41,22,5
48,13,0,52,55,37,22,5
49,17,0,32,47,48,22,5
58,2,0,34,46,35,32,5
53,15,0,33,52,21,5,10
57,24,0,49,47,45,38,5
48,6,0,4,49,28,42,5
56,25,0,51,51,39,33,5
52,17,0,45,54,45,22,5
55,19,0,28,57,51,22,5
56,28,0,51,54,51,27,5
48,46,0,59,49,46,22,5
4,65,0,51,49,46,22,5
51,56,0,37,5,44,38,5
35,34,0,81,51,55,22,5
53,18,0,53,42,45,22,5
5,33,0,45,53,27,26,5
56,11,0,48,33,5,22,5
53,19,0,35,48,47,22,5
47,47,0,6,53,59,22,5
51,42,0,45,52,53,22,5
41,48,0,29,53,4,3,5
33,26,0,58,51,53,22,5
5,24,0,46,48,43,31,5
5,21,0,43,49,46,34,5
54,4,0,49,55,45,22,5
59,14,0,64,53,53,22,5
54,17,0,57,52,6,22,5
59,19,0,38,46,31,22,5
47,16,0,24,51,41,38,5
5,4,0,33,46,28,61,5
54,24,0,39,51,44,49,5
53,18,0,43,46,48,22,5
48,16,0,47,46,43,27,5
51,2,0,52,51,5,22,5
52,15,0,33,51,28,86,5
5,13,0,36,49,48,6,5
49,29,0,45,49,54,25,5
53,15,0,55,49,59,22,5
51,34,0,43,49,41,28,5
53,1,0,64,51,5,22,5
56,26,0,41,48,52,32,5
59,41,0,48,56,47,27,5
51,29,0,49,52,49,71,5
51,22,0,41,52,52,44,5
5,23,0,51,52,61,61,5
51,53,0,59,53,47,26,5
5,16,0,4,51,6,22,5
54,11,0,61,47,46,22,5
54,18,0,66,43,55,22,5
54,37,0,53,51,46,3,5
43,61,0,41,53,41,22,5
6,12,0,58,47,31,33,5
55,16,0,44,49,33,22,5
52,16,0,57,49,55,39,5
39,11,0,45,54,66,22,5
53,28,0,32,5,49,5,5
56,28,0,35,47,42,22,5
54,19,0,47,51,47,33,5
5,26,0,34,51,58,22,5
58,25,0,55,49,45,22,5
34,21,0,4,52,66,26,5
59,3,0,42,47,21,27,5
46,32,0,6,4,48,33,5
51,35,0,64,53,44,22,5
44,25,0,35,53,4,57,5
64,42,0,55,47,38,22,5
5,25,0,45,47,43,22,5
48,51,0,47,54,53,22,5
57,25,0,45,48,49,22,5
5,12,0,45,6,52,22,5
32,49,0,56,48,51,22,5
51,33,0,47,46,45,26,5
64,19,0,43,38,44,33,5
59,25,0,38,44,4,22,5
59,25,0,39,45,39,22,5
56,14,0,54,5,55,25,5
57,29,0,45,44,5,11,5
54,37,0,43,38,33,16,5
54,37,0,43,38,33,16,5
58,19,0,51,47,39,22,5
52,8,0,72,54,51,22,5
54,15,0,56,5,49,35,5
43,27,0,57,53,37,28,5
61,26,0,57,52,49,22,5
63,19,0,48,58,45,22,5
55,18,0,54,5,57,22,5
55,44,0,38,47,44,51,5
57,13,0,4,46,3,22,5
55,13,0,27,5,31,22,5
56,25,0,52,52,46,22,5
48,32,0,34,42,47,22,5
63,25,0,5,42,56,22,5
47,37,0,46,51,53,36,5
63,22,0,57,68,42,32,5
53,14,0,37,49,45,22,5
55,21,0,36,55,49,33,5
5,16,0,29,51,4,34,5
51,15,0,37,58,3,26,5
48,42,0,35,47,33,43,5
69,18,0,46,3,35,25,5
69,18,0,46,3,35,25,5
52,3,0,57,37,43,11,5
52,3,0,57,37,43,11,5
48,12,0,59,54,51,31,5
48,12,0,59,54,51,31,5
59,17,0,61,44,53,28,5
56,19,0,61,53,48,31,5
56,19,0,61,53,48,31,5
52,18,0,44,5,56,11,5
64,48,0,37,36,44,27,5
63,38,0,72,4,37,14,5
63,38,0,72,4,37,14,5
64,45,0,44,53,36,11,5
55,27,0,58,48,45,11,5
67,12,0,43,43,33,23,5
5,26,0,58,52,44,22,5
53,22,0,38,48,43,11,5
61,29,0,4,44,45,22,5
61,29,0,4,44,45,22,5
65,4,0,34,32,34,16,5
65,4,0,34,32,34,16,5
79,79,0,43,22,22,0,5
10,8,0,35,13,21,1,5
47,35,0,56,52,35,22,5
55,48,0,54,47,44,22,5
56,2,0,35,49,39,41,5
58,16,0,48,45,46,22,5
48,1,0,48,55,55,22,5
55,23,0,69,73,54,22,5
49,36,0,42,57,49,26,5
53,27,0,44,49,62,22,5
52,19,0,56,52,61,32,5
45,22,0,46,41,33,37,5
61,22,0,52,45,43,22,5
54,21,0,32,4,44,19,5
54,21,0,32,4,44,19,5
52,33,0,48,51,41,26,5
54,22,0,46,48,39,25,5
54,22,0,46,48,39,25,5
64,13,0,42,49,5,22,5
59,41,0,46,53,54,21,5
59,41,0,46,53,54,21,5
57,19,0,39,44,65,25,5
57,19,0,39,43,65,25,5
52,44,0,38,54,5,11,5
52,44,0,38,54,5,11,5
58,17,0,51,47,52,28,5
54,22,0,57,5,48,11,5
62,23,0,5,35,5,11,5
6,36,0,53,5,57,22,5
62,43,0,37,44,3,39,5
52,14,0,6,46,57,48,5
52,29,0,42,42,38,22,5
58,23,0,49,47,4,27,5
51,38,0,37,44,37,22,5
4,8,0,57,47,5,22,5
55,28,0,34,51,25,49,5
44,27,0,77,48,86,22,5
53,14,0,59,48,54,22,5
48,23,0,5,53,48,68,5
38,41,0,39,5,10,27,5
52,14,0,56,51,42,22,5
47,49,0,52,54,54,22,5
49,56,0,56,49,65,22,5
4,56,0,54,51,64,22,5
47,52,0,47,54,58,22,5
51,16,0,46,56,42,22,5
44,2,0,55,56,52,22,5
56,9,0,49,46,38,22,5
53,12,0,38,55,4,22,5
52,13,0,55,53,55,25,5
58,17,0,46,55,44,22,5
52,19,0,34,53,46,26,5
5,21,0,44,54,71,27,5
32,22,0,56,5,49,22,5
47,9,0,41,49,49,22,5
53,3,0,44,53,51,22,5
32,27,0,51,54,51,22,5
51,2,0,46,51,38,22,5
35,26,0,55,49,72,22,5
37,12,0,65,52,66,27,5
56,17,0,41,56,4,22,5
38,14,0,39,5,71,22,5
46,15,0,37,51,42,31,5
57,18,0,59,51,55,22,5
5,24,0,48,54,51,38,5
63,2,0,39,43,3,47,5
54,25,0,47,54,52,29,5
4,36,0,77,38,82,22,5
33,23,0,42,39,28,26,5
47,29,0,48,46,5,27,5
57,34,0,54,49,59,22,5
53,24,0,7,48,78,22,5
