 Alm, Mit
37,22
56,16
52,12
5,26
5,3
59,27
44,49
57,27
36,13
54,53
53,7
57,25
46,18
51,18
5,1
49,28
44,47
38,13
6,13
59,44
32,24
26,18
49,21
57,26
45,28
55,15
58,3
49,49
47,43
43,35
52,39
58,21
49,35
47,61
62,25
5,2
49,29
49,14
6,15
54,24
48,19
53,19
58,26
5,28
52,14
48,26
57,22
51,27
35,28
37,19
54,13
34,19
57,49
51,62
43,22
51,28
52,3
51,27
5,23
44,26
3,34
3,14
33,17
54,2
27,39
29,42
34,21
3,19
51,13
36,26
52,2
54,16
48,14
5,26
5,23
56,26
41,15
53,21
34,2
58,34
53,15
51,23
46,29
53,51
54,16
48,14
57,17
56,2
57,24
56,19
56,56
5,17
45,17
54,18
52,9
54,39
46,32
6,1
52,17
48,13
49,17
58,2
53,15
57,24
48,6
56,25
52,17
55,19
56,28
48,46
4,65
51,56
35,34
53,18
5,33
56,11
53,19
47,47
51,42
41,48
33,26
5,24
5,21
54,4
59,14
54,17
59,19
47,16
5,4
54,24
53,18
48,16
51,2
52,15
5,13
49,29
53,15
51,34
53,1
56,26
59,41
51,29
51,22
5,23
51,53
5,16
54,11
54,18
54,37
43,61
6,12
55,16
52,16
39,11
53,28
56,28
54,19
5,26
58,25
34,21
59,3
46,32
51,35
44,25
64,42
5,25
48,51
57,25
5,12
32,49
51,33
64,19
59,25
59,25
56,14
57,29
54,37
54,37
58,19
52,8
54,15
43,27
61,26
63,19
55,18
55,44
57,13
55,13
56,25
48,32
63,25
47,37
63,22
53,14
55,21
5,16
51,15
48,42
69,18
69,18
52,3
52,3
48,12
48,12
59,17
56,19
56,19
52,18
64,48
63,38
63,38
64,45
55,27
67,12
5,26
53,22
61,29
61,29
65,4
65,4
79,79
10,8
47,35
55,48
56,2
58,16
48,1
55,23
49,36
53,27
52,19
45,22
61,22
54,21
54,21
52,33
54,22
54,22
64,13
59,41
59,41
57,19
57,19
52,44
52,44
58,17
54,22
62,23
6,36
62,43
52,14
52,29
58,23
51,38
4,8
55,28
44,27
53,14
48,23
38,41
52,14
47,49
49,56
4,56
47,52
51,16
44,2
56,9
53,12
52,13
58,17
52,19
5,21
32,22
47,9
53,3
32,27
51,2
35,26
37,12
56,17
38,14
46,15
57,18
5,24
63,2
54,25
4,36
33,23
47,29
57,34
53,24
34,31
53,44
47,21
34,19
67,7
53,18
53,23
55,31
49,22
47,22
57,15
48,13
56,25
57,17
52,13
38,22
53,33
36,37
68,36
53,15
36,33
51,2
58,18
34,13
32,13
51,26
24,2
22,18
51,29
55,24
38,18
47,18
57,6
6,18
54,11
57,17
38,28
58,4
45,23
6,23
58,18
58,18
51,19
51,18
46,28
5,28
49,46
46,21
51,16
52,17
45,13
45,15
67,37
54,18
36,24
45,22
59,25
5,17
51,16
56,16
42,18
54,11
53,2
51,24
59,27
54,32
48,18
47,15
61,21
51,22
49,24
46,17
55,16
51,18
51,26
51,18
63,11
49,45
47,12
6,14
21,14
53,39
38,17
63,25
41,19
55,19
32,3
52,21
38,35
67,61
72,26
53,17
56,29
49,22
32,11
46,24
58,22
58,16
55,21
41,32
55,13
46,0
45,32
55,44
54,38
37,33
5,19
52,16
61,17
53,16
27,28
31,17
49,16
46,37
46,22
47,16
52,18
47,21
49,2
52,24
49,42
5,43
5,44
52,13
56,15
48,11
53,34
55,33
45,25
63,2
57,1
56,15
65,14
5,15
52,13
59,17
55,4
57,15
5,19
62,26
5,19
58,19
52,18
5,14
57,25
51,16
51,16
53,15
42,26
43,24
51,12
53,12
63,22
59,21
53,17
5,19
42,43
49,27
53,17
54,18
54,17
75,21
53,27
48,27
5,13
39,47
41,53
49,15
52,29
53,12
51,25
44,26
48,34
6,2
57,17
53,19
55,17
5,58
56,17
61,33
48,12
51,25
49,27
36,26
57,28
62,3
46,19
5,13
44,17
47,28
48,19
63,22
54,52
56,23
56,9
58,44
45,14
6,18
5,9
6,25
48,55
55,14
52,15
58,12
32,15
32,16
52,16
47,22
54,16
52,21
42,36
48,17
51,13
57,17
35,25
52,17
29,36
56,55
36,9
36,15
41,27
43,22
27,37
41,36
4,2
6,28
49,27
46,22
46,29
37,15
46,18
43,16
57,28
55,29
36,22
47,14
37,18
47,25
38,12
46,36
43,19
46,2
37,12
32,27
49,23
49,49
52,7
41,17
32,2
36,29
31,16
39,24
39,19
53,27
34,18
42,21
39,14
35,33
56,18
42,28
36,16
45,32
36,26
56,15
47,17
44,37
38,16
43,25
42,18
63,19
32,21
33,23
45,13
5,29
43,17
52,23
37,2
34,15
57,14
41,28
47,19
35,23
44,53
3,27
49,17
46,13
34,2
51,15
46,14
49,16
3,31
59,44
4,45
39,19
58,19
44,2
46,23
46,54
58,69
5,14
52,15
38,39
47,18
47,18
5,48
62,25
54,19
54,11
57,17
5,18
54,25
64,41
66,35
43,17
61,4
36,19
54,13
47,13
48,27
54,21
52,46
6,18
57,24
36,39
47,34
45,3
57,18
51,4
41,28
56,18
48,67
59,19
44,8
47,37
56,55
54,4
46,46
4,43
52,41
64,16
39,33
54,18
55,46
54,43
54,16
5,17
56,1
53,16
48,43
71,21
5,12
61,23
5,15
52,28
31,33
54,53
58,49
38,33
62,12
45,45
49,21
6,12
58,23
58,25
59,24
75,17
75,17
48,14
57,36
38,8
6,33
53,2
49,16
59,22
54,26
52,9
49,79
59,12
54,32
39,27
41,22
38,18
55,12
51,4
41,36
51,13
47,25
36,3
54,29
48,17
52,2
47,13
47,35
34,13
54,17
51,16
5,8
38,15
48,38
48,24
61,13
63,17
49,16
5,58
56,16
56,19
49,16
52,17
58,2
37,12
3,17
53,28
47,22
35,33
61,13
49,3
37,37
32,37
33,38
47,26
38,36
45,17
45,54
54,14
42,33
57,18
51,24
38,18
55,65
48,17
43,17
56,2
58,17
62,19
57,24
54,66
42,22
35,21
55,2
49,33
59,47
59,13
58,2
64,14
61,33
56,21
54,41
51,43
57,12
5,27
52,45
51,49
51,17
49,24
55,24
51,18
64,39
54,14
57,18
54,16
61,2
53,16
52,1
45,19
59,35
6,2
53,23
55,15
5,28
43,18
53,77
39,18
54,13
48,36
48,13
5,3
54,25
5,15
49,32
38,15
56,18
51,26
52,3
44,31
53,14
59,8
56,18
55,28
53,17
5,28
53,19
58,1
58,22
5,22
64,37
57,29
57,36
57,36
53,27
47,19
55,24
65,18
54,24
52,18
45,26
45,26
67,12
10,8
47,41
52,19
47,2
56,21
46,5
61,22
65,28
6,36
62,43
58,8
5,28
33,18
55,18
55,57
49,18
49,18
46,14
44,18
56,15
35,19
39,9
46,28
55,12
52,18
45,15
51,17
53,49
55,23
49,12
31,35
44,12
56,36
62,22
51,7
55,27
54,4
54,35
51,21
51,19
51,1
51,1
51,3
23,16
43,24
43,18
45,38
56,21
28,38
53,19
39,23
42,3
46,24
65,16
6,22
38,18
49,2
48,11
44,29
51,13
54,21
75,17
54,22
51,25
51,24
53,19
35,35
53,17
49,27
55,13
33,16
47,13
55,19
51,17
35,16
35,15
56,15
53,21
49,26
51,2
45,15
56,31
41,38
46,18
5,48
57,38
38,22
4,31
4,12
47,21
26,33
45,15
36,14
3,16
47,14
33,17
41,36
47,18
35,19
6,63
61,26
49,86
37,29
45,44
29,8
57,3
6,16
