,Tweets_temiz,sentiment
39,"Hahaha de mi ama? Gece gece hiç güleceğim yoktu!: Ben mesela sabah giyiyorum ince topuklu ayakkabıları evin içinde, oturuyorum PC de işin başına!: Maksat ziyan olmasınlar. .. MutasyonikHallenmeler pandemi ",1
40, Sistemin sorunlu olması salgın yönetimini nasıl etkiliyor? Covid19 Türkiye de sınıf ayrımını derinleştirdi mi? Göçmenler ve mülteciler pandemi sürecinde hangi sorunlarla karşı karşıya kalıyor? Sağlık emekçileri için hangi çözüm politikaları uygulanabilir? 10Ocak Pazar ,0
41,"Babam 1 gün tatilde evde kaldığında : evde kalınca çalıştığım günden daha çok yoruluyorum. O sırada pandemiden dolayı neredeyse 1 yıldır evde olduğum için sürekli yorgun, bıkkın, agresif ve gençliği heba olan ben: pandemi sokağacıkmayasağı ",0
42,Hayırlı Cumartesiler. Cumartesi Haftasonu sokağacıkmayasağı Evdekal Rakı Plak gazlambası Video instavideo Şarkı müzeyyensenar rakimasasi Ortam Karcebaş Home ,1
43,"Çin, en az dokuz milyon kişinin Covid 19'a karşı aşılandığını ve ayrıca nüfusunun geri kalanını ücretsiz olarak aşılamayı planladığını bildirdi. Çin ZengYixin Covid19 LiTao DünyaSağlıkÖrgütü WHO DSÖ koronavirüs Wuhan ",1
44,Gaziantep Şahinbey Şehitkamil 'e Ücretsiz Servisimiz Mevcuttur evdekal 0542 150 50 27 0531 660 80 95 WATSAP HALI YIKAMA OrhanUslu ,1
45," ve işbirliği ile Pandemi Buluşmaları konulu toplantı düzenlensi. TVHB Başkanımız Sayın eroglu44 na, Değerli Hocamız Prof. Dr. Osman ERGANİŞ'e teşriflerinden dolayı teşekkür ederiz. Tekrarı ",1
46,"Pandemi Adetini Yönetmiyoruz, Hastane Kapasitesini Yönetiyoruz. KoronaHavadanBulaşıyor COVID19 pandemi ",2
47,Gaziantep Şahinbey Şehitkamil 'e Ücretsiz Servisimiz Mevcuttur evdekal 0542 150 50 27 0531 660 80 95 WATSAP HALI YIKAMA ,1
48,Şu uzun yasak günlerinde kendimi baya mahkum moduna alıp pencereden dışarı dahi bakmıyorum. Yasağa bile sadık olunabilir mi? Karantina GeceyeNotum ,0
49,Samsun'da 3 kardeş 1 ay içinde koronavirüs ten hayatını kaybetti ,0
50,Samsun'da 3 kardeş 1 ay içinde korona virüsten hayatını kaybetti samsun koronavirüs ,0
51,"Diyarbakır da sağlık çalışanı 4 ayda 2 kez Kovid 19 u yenmeyi başardı Diyarbakır da 4 ayda 2 kez yeni tip koronavirüs teşhisi konulan ve uygulanan tedavilerle sağlığına kavuşan anestezi teknikeri Özgül Tatar, kurallara uyulması çağrısında bulundu. kadin ",1
52,Şimdiye Kadarki COVID 19 Mutasyonları Hakkında Bilinen Her Şey teknobuk güncel covid19 coronavirus koronavirüs mutasyon mutation SARSCoV2 virüs pandemi salgın virus UK SouthAfrica ,2
53,Çok önemli tespitler Mutlaka takip edin.. Haklı sorular ve mükemmel bir özetleme.. Sinovac aşı vaccination COVID19 çinaşısı ,1
54,"Alışveriş N11 NetÜrün BotoxKürü Kişiselbakım Yaşlanmak CiltBakım Hayat Yaşam covid19 Doğalbakım Mağazamız Yine Tüm Alışveriş Sitelerinde Liderliğini Koruyor Net Ürün Online Shopping PRODERM GOLD BOTOX KÜRÜ KIRIŞIKLIK KARŞITI 59,00 yerine49,90 ",1
55,1gece vakti yenice pandemi salgın iyigeceler ,2
56,Rabbim kısa zamanda bu salgından kurtar ülkemizi.. corona koronavirues ,1
57, Bende hiç izlemeZdim kumandayı kullanamazdım desem İnan hayat işte güleyim mi ağliyim mi bilemiyorum Gözün çıksın korona ,0
58, bismiledeğer bismilbelediyesi Evdekal sen benim okumak istediğim kitaplardansın.. ,1
59, bismiledeğer bismilbelediyesi Evdekal Lütfen çık ,1
60,COVİD 19 DAN DAHA BÜYÜK BİR SALGIN GELİYOR ,2
61,"evdekal etkinlikleri devam ediyor. Sağlığımız için evde kalıyor,kitap okuyor,spor yapıyor,şarkımızı çalıyor ve satranç oynuyoruz. mem tore Muğlaevdekalsatrançoyna Muğlaevdekalkitapoku Muğlaevdekalsporyap Muğlaevdekalşarkınıçal ",1
62,"Covid19 bitti de , tek sıkıntı bunlar mı kaldı. WhatsAppSiliyoruz Telegram Ne biçim şey bunlar ya , bi gidin Allah aşkına. WhatsApp varsa , sadece rehberindeki insanlarla muhatapsındır . Her dert bitti bunlar kaldı. Saçmalığın daniskası.. ",0
63,ABD'li Ünlü Siyasi Danışman RogerStone'a kulak verin. BillGates Aşı ,2
64,Bu haftasonu da evdekal etkinlikleri devam ediyor. Sağlığımız için evde kalıyor ve satranç oynuyoruz. mem tore Muğlaevdekalsatrançoyna ,1
65,Elhamdülillah ! Çok şükür yağmur toprakla buluştu. Rahmet susuz kalan toprağa kavuştu. yağmur rahmet toprak su EvdeKal StayAtHome MaskeniTak MesafeniKoru ElleriniYıka Twitter ,1
66,"Pandemi süreciyle birlikte 1 Milyon yeni kişi E Ticaret i ilk defa kullandı. Çevrende bütün bunlar oluyorken durma, SENDE DENE! eticaret webtasarim ",1
67,"BREZİLYA 9.1.2021 Covid19 T.Vaka : 8.075.998 1 26 Aktif:758.893 DO 9 T.Ölüm : 202.631 1 1.053 DO 10,5 T.Test : 28.600.00 1 7 Günlük Vaka: 60.078 Yüzde Artış 0,7 Günlük Ölüm: 1.089 Vaka Ölüm Yüzde: 2,510 themachinecorona ",0
68, Kırgınım Ona pandemi şarkılarım ,0
69,"PANDEMİ BULUŞMALARI Çorum Veteriner Hekimleri Odası ve Jourvet işbirliği ile düzenlenen Pandemi buluşmaları konulu toplantı yapıldı. COVID 19 aşı üretimi çalışmaları ve pandemi ile ilgili değerlendirmelerin yer aldığı toplantı, katılımcıların soru cevap bölümüyle sona erdi. ",2
70,Binlerce kamera boş bir şehri gözlemliyor geyik bakışlarını sokak ışıklarına dikti.. SokağaÇıkma yasağı. COVID19 aşı coronavirus ,0
71,SonDakika Mutasyona Uğramış Virüs Fransa'ya Sıçradı Geçtiğimiz ay içerisinde İngiltere'de tespit edilen mutasyona uğramış korona virüsün Fransa'nın güneyindeki Marsilya bölgesinde. ,2
72,1. NASREDDİN HOCA'NIN PALASI VE SOKAĞA ÇIKMA YASAĞI Malum sokağa çıkma yasağı günlerindeyiz. Çok eski zamanlardan bir sokağa çıkma yasağı hikayesi anlatmak istiyorum. NasreddinHoca evdekal SOKAĞACIKMAYASAĞI ,1
73,covid19 Esselemun aleyküm arkadaşlar bugün vefat eden 181 vatandaşlarımıza Allah'tan rahmet yakınlarına sabır diliyorum inne lillehi ve inne ileyhi raciun başımız sağolsun hasta olan kardeşlerimize Allah şifa versin inşallah maskenitakmesafenivesevdiklerinikoru ,1
74,Kovid 19 aşıları Rize ye geldi covit 19 aşı rize ,2
75,Bu hastalık uzun bir süre gitmeyeceği ortada sadece okulları açmak için günlük tabloda hızlı vaka düşüşleri var 15şubat geliyo diye düşünüyorum. Biz evde mutluyuz okulu bu sene evden bitirse cocuklar daha mantıklı evdekal millieğitimbakanlığı COVID19 ,1
76,Papa koronavirüs aşısı yaptıracak! 'İntihara meyilli bir inkar var ama..' Milliyet ,0
77,ManchesterUnited Watford Deplasman 0.5 Gol Üst Oostende charleroi 3.50 Gol Üst Toplam Oran:3.20 Bol Şans taburespor iddaa Galatasaray Besiktas Trabzonspor 9ocak besiktasinmacivar Fenerbahce BugünGünlerdenGalatasaray evdekal kupon canlı ,1
78, PCRtest mucidi karymullis bile bu testlerin amacının bu olmadığını söyledi. her potitif vaka hasta değildir gözümüzün içine baka baka bizi kurban ediyorsunuz.hakkimiz vallahi helal değil bize bunu yapanlara emeği olanlara bizi Altun tepside sunanlara ,0
79,"Pfizer ve Moderna nın mRNA aşıların içinde ne var? nasıl çalışır? Maalesef mikroçip yok, sadece güvenli ve etkili yardımcı maddeler Peki, Pfizer ve Moderna nın mRNA aşıları nasıl çalışır, neden çığır açıcıdır? coronavirus Corona pandemi COVID19 ",1
80,Britaniya kraliçası v h yat yoldaşı COVID 19 a qarşı peyv nd olunublar ,2
81,120m2 çıkmayıp koca dünya hakkında endişelenmekten inanın kafayı yemiş durumdayım..coronavirus Karantina Pandemie pandemic ,0
82,"Çorum Veteriner Hekimleri Odası ve Jourvet işbirliği ile düzenlenen Pandemi buluşmaları konulu toplantı yapıldı. COVID 19 aşı üretimi çalışmaları ve pandemi ile ilgili değerlendirmelerin yer aldığı toplantı, katılımcıların soru cevap bölümüyle sona erdi. Teşekkürler ",1
83,İngiltere'de korkutucu rakamlar İngiltere mutasyon coronavirus aşı hayatevesığar ,0
84,Şu an sokağa çıkma yasağı olmasa İzmir'e kadar koşabilirmişim gibi geliyo.. Ada dan.. Öyle daraldım..evdekal ,1
85,Fransa da COVID 19 un hızlı yayılan türüne yeniden rastlandı Fransa da COVID 19 un daha hızlı yayılan türünün yeniden görülmesiyle sokağa çıkma yasağı iki saat erkene alındı. ,0
86,Cumartesileri ayrı bir Pisi pisi pisikopatım.. evdekal ,2
87,Sadece ve sadece niye cumartesi leri daralıyorum ki ben..?.evdekal ,2
88, Devamı için lütfen destek taburespor iddaa Galatasaray Besiktas Trabzonspor 9ocak besiktasinmacivar Fenerbahce BugünGünlerdenGalatasaray evdekal ,1
89,İnönü Üniversitesi nden COVID 19 itirafı ,2
90,Pakistan'da ülke genelinde elektrik kesintisi yaşanıyor. Yetkililer panik yapamaya gerek yok diyor. elektrik elektrikkesintisi pakistan yenidünya küreselci virüs korona DEVELOPING: Pakistan suffers nationwide power blackout officials urge citizens to remain calm ,0
91,Eski İl Genel Meclis Üyesi Ali Fuat Yıldırım Koronavirüsten hayatını kaybetti koronavirüs ,2
92,İngiltere'de son 24 saatte 1035 kişi COVID 19 nedeniyle hayatını kaybetti. ,0
93,ABD'de ön safta mücadele eden ve ABD'de aşı olan ilk Türk Doktor Halil Mutlu 21 gün ara ile gereken ikinci aşısını oldu. Pfizer PfizerCovidVaccine Aşı ,0
94,İki kez başvuru yaptım ikisinde de red cevabı aldım. Neye göre veriliyor bu pandemi parası ? 3.Faz dan bizde faydalanmak istiyorum. pandemi ,2
95,Çin de salgın büyük ölçüde kontrol altında olduğundan yeterli vaka sayısına kısa zamanda ulaşılamayacağı için Sinovac CoronaVac ın faz3 testleri için Aralık ayında günlük vaka sayısının 30 binleri geçtiği Brezilya ve Türkiye yi seçti. aşıtakipcisi ,2
96,Fransa nın güneyindeki Marsilya bölgesinde yeni tip koronavirüsün COVID 19 İngiltere de ortaya çıkan daha hızlı yayılan türüne yeniden rastlandı. ,0
97,Hiçbir şey işime yaramıyor şuan tek ihtiyacım olan Fahrettin Koca 'nın beni görüntülü arayıp motive etmesi ahkorona korona ,1
98,"ALMANYA 9.1.2021 Covid19 T.Vaka : 1.912.309 1 44 Aktif:359.519 DO 2,1 T.Ölüm : 40.990 1 2.047 DO 2,1 T.Test : 35.118.592 1 2 Günlük Vaka: 17.170 Yüzde Artış 0,9 fark 0,5 Günlük Ölüm: 589 Vaka Ölüm Yüzde: 2,14 Artış 0,01 themachinecorona ",0
99,Abut cuburla geçen bol kilo almalı bir karantina gününün sonu iyigeceler ,1
100,Fransa da COVID 19 un hızlı yayılan türüne yeniden rastlandı ,0
101,"Her ne olursa olsun, doğa öncelikli Aşı Bizi Bir Sonraki Büyük Pandemiden Kurtaramaz Ancak Ekosistem Restorasyonu Kurtarabilir Yazı: Doç. Dr. Barış Karapınar Pandemi Aşı EkosistemRestorasyonu ",1
102,Lezzetiyle vazgeçilmeziniz tereyağı lezzetihicbitmez özgüllü tereyağı mıhlama evdekal buttermilk cheese factory milkproduction milkproduct kashkaval yöresel kahvaltı pazar cumartesi hersabah borek makarna ,2
103,COVİD 19 BİLGİLENDİRME ,2
104,"Muğla evdekal etkinlikleri devam ediyor. Sağlığımız için evde kalıyor,kitap okuyor,spor yapıyor,şarkımızı çalıyor ve satranç oynuyoruz. tore Muğlaevdekalsatrançoyna Muğlaevdekalkitapoku Muğlaevdekalsporyap Muğlaevdekalşarkınıçal ",1
105,12 aydır Haber Kanalarının ezber yaptığı konular corona mesafe maske aşıbulundu aşıgelmedi aşı geliyor bir boşlukta boğaziçi olaylar yarın oluyor bidaha baştan say pisikolojimizi sonunda bozmayı başardılar Gündem h Genç Sağlık k v ,0
106,"Thyao 2020 3. Çeyrek sonu itibariyle toplam kira borcu 11,2 milyar USD, ortalama faiz oranı %2.05 seviyesindedir. hisse borsa SonDakika ekonomi havacılık COVID19 koronavirüs coronavirus ",1
107, TOM GELECEK TARIMDA aronya hayatabaglar. ULKEMIZDE KANSER VAKALARI NUFUSUN %14 Unu MAALESEF asti. ICERDIGI YARARLI MADDELER VE INSAN BUNYESINDEKI DUZENLI TUKETIM SONRASI DOPING YAPTIGINI COVID 19 E YAKALANAN KARDESIM VE CEVREMDE IZLEDIGIM INSANLARDA OLUMLU GELISMELER OLDU ,1
108,DavidBowie Dedebaba'nın vefatının 4. sene i devriyesinde dağıtılacak lokma bu sene COVID 19 tedbirleri nedeniyle maalesef gerçekleştirilemeyecektir. January10th RIPDavidBowie ,0
109,Londra da Covid19 aşısı yaptırmak için sıraya girenler uzun bir kuyruk oluşturdu: ,2
110,COVID 19'da immün cevabı etkileyen bitkisel destekler Botanical drugs and supplements affecting the immuneresponse in the time of COVID 19 COVID19 ,1
111,Filipinliler Koronavirüsü umursamadılar! Filipinler'de Covid 19 salgınına rağmen binlerce Katolik 'Siyah Nasıriye' törenine katıldı. koronavirüs Covid 19 ,0
112," İDAM GERİ GELSİN!! DARBE RAHİP KRİZİ SAVAŞ DÖVİZ KRİZİ SEÇİM EKONOMİLERİ RUSYA KRİZİ KONKORDATOLAR COVİD 19 KRİZİ BU KRİZLERİ SUÇLUSU OLAN ESNAFI HAPSE ATMAYIN,AYIPTIR!! İDAM EDİN RAHATLAYIN! ",0
113,Hastane doluluk oranına odaklı elyordamına salgın yönetmenin kaçınılmaz sonuçları.. Yazık! sokakkısıtlaması koronakorona başarıhikayemiz ,1
114,"Netanyahu, ikinci dozunu da yaptırdı aracılığıyla neyantahu israil korona koronavirus asi ",0
115,MuğlaEvdeKalSatrançOyna 2. Sınıf öğrencimiz Zeynep Dua Ay annesi ile ve 6. sınıf öğrencilerimiz Ege ve Mete Yüce satranç oynadılar. fethiye evdekal tore mem ,1
116,İsrail'de ikinci doz aşı uygulanmaya başlandı israil aşı COVID19 pandemi Karantina ,2
117,"Buckingham Sarayı'ndan yapılan açıklamada, Kraliçe ve Edinburgh Dükü, bugün Kovid 19 aşısı oldu. ifadesi kullanıldı. medicaljournealism aşı Covid 19 buckinghampalace ",2
118," 4 YILDA DARBE RAHİP KRİZİ SAVAŞ DÖVİZ KRİZİ SEÇİM EKONOMİLERİ RUSYA KRİZİ KONKORDATOLAR COVİD 19 KRİZİ DEVLETLERİN EKONOMİLERİ ÇÖKERKEN,ESNAF NE YAPSIN?? ESNAFINIZA SAHİP ÇIKIN LÜTFEN, 5941 NOLU YASAYI VETO EDİN.. ",0
119,Mutasyon virüs Fransa'da Fransa mutasyon coronavirus aşı İngiltere ,2
120,Asel Bugun COVID 19 test olmuş hepimiz aglamasini beklerken hic aglamamis Bittigindede cok korktugunu soylemis ,0
121,Çocuğun altını değiştirmek için yatak odasına gitmeye üşenirken artık sırf mekan değişikliği olsun diye başka başka odalarda alt değiştiriyoruz yaktın bizi corona anne annebebek corona pandemi coronavirüs covid19 karantina karantinagünleri karantinadaanneler karantinada ,0
122,Covid 19 tedbirleri kapsamında İl Müdürlüğümüz hizmet binasında düzenli aralıklarla yapılan dezenfektasyon çalışmalarına devam edilmektedir. Maske mesafe temizlik Covid 19 dezenfeksiyon Evdekal ,2
123,rennes lyon iy0.5 üst monaco angers iy0.5 üst Oran: 2.00 Bol Şans taburespor iddaa Galatasaray Besiktas Trabzonspor 9ocak besiktasinmacivar Fenerbahce BugünGünlerdenGalatasaray evdekal ,1
124,Yunanistan'da koronavirüs salgınında son 24saat ,2
125,Ruhumdan her geçeni dudaklarımın arasına yollasam ruhuma ne kalır? BeyzaAlkoc Karantina ,2
126,İnsanlığın başındaki yeni bela: Mutasyon ulusal sağlık koronavirüs mutasyon korona avrupa ,2
127,sanatlaterapi atölyemize bekliyoruz.. Çocuklarımızın kaygılarını gelin birlikteasalim ikplusdanisman çocukgelişimi terapi pandemi ,2
128,Pandeminin kadın kahramanları Kuşadası nın maske ihtiyacını giderdi tum ifade pandemi milyon bin kadin karar ,1
129,"Bunun yani sıra , çocuk bakımı konusunda yeni seçenekler bulmak veya işlerinden vazgeçmek zorunda kalan ebeveynler üzerinde yeni stres kaynakları oluşturdu.. Pandemi ile bağlantılı damgalama, ayrımcılık, korku ve kaygılar çocukları şiddete ve ",0
130,"KÜRESEL KONSEYİN EFENDİLERİ Dünya'yı yöneten Küresel Konseyin 2600 yıllık gizemli tarihini,gizli yapılanmalarını,tarihi değiştiren operasyonlarını ve Dünya'ya hükmeden Efendileri sizler için yazdı. kitap EvdeKal tavsiyekitap tarih SİPARİŞ İÇİN: ",2
131,Türkiye de 9 Ocak Koronavirüs Tablosu Dünyayaaçılangözünüz AlAinAlİhbariye ,2
132,"Geçmişte yaşadıkların canını yakıyorsa, demek ki hala GEÇMEMİŞ.. iyigeceler GeceyeNotum GeceyeBirSozBırak GeceyeBirNot evdekal Karantina cumartesi ",0
133,Ben birşey yaptım tablo iyigeceler EvdeKal ,1
134,İngiltere Kraliçesi Covid 19 aşısı oldu haberler İngiltere aşı koronavirus pandemi mutasyon ,2
135,Almanya'da Kovid 19 önlemleri karşıtı gösteri düzenlendi Almanya coronavirus pandemi Karantina ,1
136,Özel Aşılar Kafanızı Karıştırmasın Özel aşılar hakkında aklınıza gelen tüm soruları cevaplamaya çalıştığım bu canlı yayın kaydını.. aşı özelaşılar ishal ishalaşısı rotavirüsaşısı menejitaşısı hpvaşısı rahimağzıkanseri rahimağzıkanseriaşısı ,0
137,Hataydayım Hatay'ı özledim Karantina sokağacıkmayasağı ,0
138,Karantinaya başladığım da 17 yaşındaydım 8 ay sonra 19 olucam koronayla büyüdük Karantina COVID19 ,2
139,Covid 19 Dünyada Test 9Ocak Covid19 ,2
140,Covid 19 Dünyada Ölüm 9Ocak Covid19 ,0
141,Covid 19 Dünya Sıralaması 9Ocak Covid19 ,2
142,Covid 19 Yoğunluk Tablosu 9Ocak Covid19 ,2
143,Hep sıkıntıdan bak bunlar . backlightphotography iyigeceler goodnight gutenacht karantina quarantine Korona Günlerinde Fotoğraf ,1
144,Mesele hiçbir zaman karantinadan kurtulmak değildi Mesele karantinayı sevmekti Karantina BeyzaAlkoc ,1
145,geceyi boşverin hepinize iyi insanlar dilerim. . . . . . . . . . . . iyigeceler Haftasonu cumartesi EvdeKal ,1
146,Yeni Ödeme Yöntemi Öp Başına Koy opucuk dudak ödeme komik insan hayat karantina komikvideolar evdekal corona covid 19 ,1
147,Bir terslik var ! iyigeceler GeceyeNotum GeceyeBirSozBırak GeceyeBirNot evdekal Karantina ,0
148,Düşüş sürüyor! Ağır hasta sayısı 3 binin altına indi.. Gaziantep koronavirüs pandemi haber NRDhaber ,0
149, teşekkür ederim teşekkür mü edersin? teşekkür ederim Karantina BeyzaAlkoc ,1
150,İngiltere Kovid 19'un Avrupa'daki merkezi oldu ingiltere koronavirüs ,2
151,"İçmekte sıkıntı yokta, İçince düşündüklerimizden Ölürüz birgün..! cumartesi iboshow picemiyeti GeceyeBirNot EvdeKal iyiaksamlar iyigeceler ",0
152,sofikatür'ü yaay'dan takip etmeyi unutmayınız. twitter yoksa yaay var. dünyayı güzelleştirmek sofikatur kirlilik temizlik cop dunya evdekal islam tasavvuf mizah karikatur cartoon ,1
153,hedefliyor. israil Aşı ,2
154," Atatürk döneminde 17 farklı aşı üreten, hatta dünyaya aşı ihraç eden Hıfzısıhha Enstitüsü 2011 yılında AK Parti iktidarında kapatıldı. O günden beri aşıları ithal ediyoruz. İşte yerli ve milli siyaset . BizATATÜRKüz ",1
155,AK PARTİ RİZE TEŞKİLATININ ACI GÜNÜ. COVİD 19 SEBEBİYLE HAYATINI KAYBETTİ. ,0
156,"Dünya genelinde yeni tip koronavirüs Covid 19 salgınında vaka sayısı 89 milyon 732 bini, hayatını kaybedenlerin sayısı 1 milyon 928 bini, iyileşenlerin sayısı 64 milyon 206 bini geçti. ",0
157," Akyazı Covid19 tedbirlerine yönelik denetimler, kısıtlamaların olduğu günlerde de yoğun bir şekilde sürüyor. SağlıkİcinHepimizİcin Maske Mesafe Temizlik ",2
158,İyi geceler aslıgökyokuş evdekal karantina ,1
159,Yeni video yayında linke tıklamanız yeterli ücretsizdir knitting crochet yelekmodelleri evdekal youtuber youtube nisanörgü tiktok ,1
160,İnsanlar ile Aranıza Gençlerbirliği Kalecisinin Topla Arasına Koyduğu Gibi Mesafe Koyarsak Covid Biter.. COVID19 Sosyalmesafe ,2
161,Dünya genelinde vaka sayısı 89 milyonu geçti ,1
162,Ayrıntılar instagram hesabımızda cekilisvar ipek halı türkiye evdekal WhatsAppsoezlesmesinehayır WhatsApp cumartesi Like LikeForLikes GeceyeBirNot GeceyeNotum Haftasonu Like instagram evdekal ,2
163,iran dan gelen bu açıklamadan sonra basına yansıyan haberlerde Amerikada sağlık çalışanlarının %70 aşı vurma konusunda olumsuz düşünüyor. Yani kendilerine vurulmasına müsaade etmiyorlar ,2
