,Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc, Class
142,31,31,56,33,5,0,52,33,0
143,49,31,49,35,5,0,51,29,0
144,38,37,56,21,5,0,49,22,0
146,24,34,69,18,5,0,52,22,0
147,49,43,51,13,5,0,47,22,0
148,54,38,52,18,5,0,48,22,0
150,31,55,52,17,5,0,52,22,0
152,37,42,51,11,5,0,57,22,0
159,57,57,44,37,5,0,52,25,0
170,53,51,46,28,5,0,48,22,0
175,56,52,48,17,5,0,46,22,0
176,56,41,58,21,5,0,42,22,0
178,53,38,66,25,5,0,43,22,0
179,34,36,54,11,5,0,36,21,0
182,41,45,53,17,5,0,51,25,0
187,41,51,58,15,5,0,45,27,0
188,53,44,51,33,5,0,52,22,0
189,46,54,71,15,5,0,59,22,0
191,42,57,72,22,5,0,57,22,0
193,51,53,55,14,5,0,51,22,0
195,27,39,66,11,5,0,44,22,0
198,44,53,52,23,5,83,51,22,0
199,59,58,56,21,5,0,54,33,0
200,39,28,46,12,5,0,41,22,0
208,43,39,54,14,5,0,47,22,0
209,53,61,52,21,5,0,55,3,0
210,54,42,41,16,5,0,52,22,0
211,46,35,53,16,5,0,51,29,0
213,56,52,55,19,5,0,54,22,0
214,37,53,46,23,5,0,47,22,0
216,39,45,53,18,5,0,54,22,0
218,35,39,57,11,5,0,48,22,0
221,55,46,53,11,5,0,52,48,0
222,45,56,53,32,5,0,57,22,0
226,54,65,49,34,5,0,52,22,0
232,34,38,45,19,5,0,51,22,0
236,55,46,46,31,5,0,58,48,0
239,35,46,49,15,10,0,55,35,0
244,56,62,53,24,5,0,57,22,0
250,33,44,49,8,5,0,48,49,0
251,46,48,44,21,5,0,55,22,0
252,35,36,57,17,5,0,52,22,0
253,54,57,52,19,5,0,59,67,0
258,47,47,58,16,5,0,49,28,0
263,37,43,62,27,5,0,48,22,0
264,55,66,57,32,5,0,57,34,0
265,48,35,42,21,5,0,57,22,0
267,56,59,53,16,5,0,24,42,0
269,44,44,49,15,5,0,46,27,0
272,35,68,57,4,5,0,53,36,0
275,51,35,46,15,5,0,51,42,0
276,32,38,52,2,5,0,52,28,0
277,59,65,52,3,5,0,46,31,0
278,41,52,41,11,5,0,54,35,0
280,45,56,49,17,5,0,52,22,0
281,56,54,59,14,5,0,52,27,0
282,31,31,54,18,5,0,52,29,0
283,54,56,57,18,5,0,45,25,0
284,17,38,45,9,5,0,54,27,0
285,43,51,54,15,5,0,45,26,0
288,38,47,53,12,5,0,48,22,0
289,59,43,52,19,5,0,55,27,0
291,52,51,51,12,5,0,51,4,0
292,49,43,48,15,5,0,55,25,0
293,49,47,52,16,5,0,53,28,0
294,48,39,49,18,5,0,51,22,0
295,44,34,55,18,5,0,52,22,0
300,55,41,56,21,5,0,52,22,0
303,58,48,56,1,5,0,46,25,0
304,58,48,56,12,5,0,46,25,0
305,58,41,51,26,5,0,51,37,0
309,28,51,55,11,5,0,46,22,0
310,56,57,63,39,10,0,59,4,0
311,46,57,57,15,5,0,52,26,0
312,43,42,54,22,5,0,57,33,0
313,48,34,47,14,5,0,47,26,0
316,53,43,47,15,5,0,58,22,0
317,44,42,62,14,5,0,55,37,0
318,37,34,58,24,5,0,44,18,0
319,37,34,58,24,5,0,44,18,0
320,39,39,55,52,5,0,37,16,0
321,39,39,55,52,5,0,37,16,0
327,37,22,64,35,5,0,47,22,0
329,49,37,59,17,5,0,51,22,0
331,53,53,53,17,5,0,49,37,0
332,29,68,47,26,5,0,47,37,0
337,34,35,61,19,5,0,52,25,0
338,55,53,56,29,5,0,48,22,0
342,61,54,49,19,5,0,54,47,0
345,32,34,61,17,5,0,52,32,0
346,34,34,61,18,5,0,52,32,0
359,51,43,63,18,5,0,52,22,0
360,51,52,48,5,5,0,51,22,0
366,54,45,62,13,5,0,52,26,0
368,51,34,43,18,5,0,48,25,0
369,56,45,59,14,5,0,51,26,0
370,45,38,59,18,5,0,44,45,0
375,58,55,52,22,5,0,44,22,0
394,57,49,48,16,5,0,51,22,0
397,43,32,56,27,5,0,47,27,0
398,27,56,56,18,5,0,52,22,0
403,52,48,54,28,5,0,54,22,0
409,42,32,48,16,5,0,55,22,0
412,36,34,46,19,5,0,52,22,0
413,51,43,47,19,5,0,52,37,0
415,44,41,44,13,5,0,49,42,0
417,53,44,47,22,5,0,53,22,0
420,46,47,46,16,5,0,51,22,0
423,49,62,65,18,5,0,46,43,0
426,33,37,54,28,5,0,53,27,0
428,33,38,53,26,5,0,52,27,0
431,41,41,51,19,5,0,57,22,0
435,26,38,52,36,5,0,48,56,0
436,53,51,51,11,5,0,49,41,0
439,68,58,51,19,5,83,54,22,0
443,49,44,45,22,5,0,51,22,0
444,32,47,55,25,5,0,49,22,0
445,46,57,52,28,5,0,52,22,0
449,55,49,45,18,5,0,49,22,0
451,57,44,42,2,5,0,54,22,0
453,34,54,54,13,5,0,52,22,0
455,29,46,54,27,5,0,49,22,0
460,54,52,54,2,5,0,55,25,0
461,37,31,53,16,5,0,53,44,0
462,48,47,54,55,5,0,51,65,0
465,66,54,49,16,5,0,54,36,0
466,46,55,61,13,5,0,47,22,0
467,42,5,53,22,5,83,5,22,0
471,67,51,54,21,5,0,43,3,0
474,59,57,43,26,5,0,51,22,0
483,6,51,6,38,5,83,52,24,0
487,45,43,63,4,5,0,59,11,0
488,44,44,67,35,5,0,48,26,0
489,57,61,55,27,5,0,44,21,0
490,57,58,58,35,5,0,49,22,0
493,36,38,56,44,5,0,48,22,0
500,61,46,51,37,5,0,51,22,0
505,51,56,51,42,5,0,53,36,0
508,32,45,44,2,5,0,55,33,0
512,52,38,62,12,5,0,41,28,0
513,51,56,62,24,5,0,52,51,0
514,46,44,53,31,5,0,48,22,0
518,55,53,54,4,5,0,48,22,0
520,44,53,53,37,5,0,51,22,0
522,46,46,56,12,5,0,55,22,0
523,47,46,55,28,5,0,44,46,0
524,39,35,49,17,5,0,49,22,0
528,41,59,46,19,5,0,36,22,0
529,58,56,52,25,5,0,57,35,0
530,51,65,53,19,5,0,49,22,0
534,56,63,52,2,5,0,34,26,0
535,42,28,57,18,5,0,42,22,0
537,37,41,45,14,5,0,47,22,0
538,37,51,57,4,5,0,48,27,0
539,36,39,55,26,5,0,49,22,0
543,47,59,37,31,5,0,51,36,0
544,48,62,52,3,5,0,51,37,0
545,48,54,53,6,5,0,53,31,0
553,49,44,51,18,5,0,52,27,0
554,35,44,54,26,5,0,52,26,0
555,43,28,53,34,5,0,55,57,0
556,33,48,55,16,5,0,53,75,0
557,44,34,61,13,5,0,49,26,0
562,51,34,49,16,5,0,53,21,0
563,45,41,58,48,5,0,53,64,0
567,25,36,58,3,5,0,58,31,0
573,41,49,58,22,5,0,52,22,0
574,58,51,56,16,5,0,34,22,0
576,39,42,49,1,5,0,49,65,0
577,31,42,48,17,5,0,49,53,0
579,28,48,56,16,5,0,48,26,0
580,69,39,52,12,5,0,38,35,0
583,47,43,59,27,5,0,55,22,0
588,49,52,53,7,5,0,51,22,0
589,51,46,57,25,5,0,53,22,0
590,49,45,46,18,5,0,49,31,0
600,51,46,49,21,5,0,55,22,0
602,46,49,45,28,5,0,55,22,0
604,67,46,58,3,5,0,57,27,0
608,56,68,52,39,5,0,36,22,0
609,59,45,58,21,5,0,49,22,0
610,48,52,49,35,5,5,51,22,0
615,45,41,49,14,10,0,53,3,0
617,41,48,54,24,5,0,37,51,0
618,48,42,48,19,5,0,58,22,0
619,43,45,53,19,5,0,56,22,0
620,48,46,58,26,5,0,44,22,0
622,38,62,52,14,5,0,53,22,0
634,74,71,52,3,5,0,27,22,0
641,55,51,54,2,5,0,56,22,0
648,49,48,52,2,5,0,55,22,0
650,54,53,48,14,5,0,49,33,0
654,41,53,41,15,5,0,54,25,0
658,45,47,53,15,5,0,52,27,0
659,42,28,51,23,5,0,53,27,0
660,51,48,46,29,5,0,54,22,0
664,42,53,57,17,5,0,49,22,0
666,53,43,57,24,5,0,39,28,0
671,56,59,54,18,5,0,48,46,0
672,33,39,52,9,5,0,47,28,0
676,62,41,52,17,5,0,48,22,0
677,52,37,48,13,5,0,55,22,0
678,32,48,49,17,5,0,47,22,0
679,34,35,58,2,5,0,46,32,0
681,49,45,57,24,5,0,47,38,0
683,51,39,56,25,5,0,51,33,0
684,45,45,52,17,5,0,54,22,0
685,28,51,55,19,5,0,57,22,0
686,51,51,56,28,5,0,54,27,0
691,53,45,53,18,5,0,42,22,0
694,35,47,53,19,5,0,48,22,0
701,49,45,54,4,5,0,55,22,0
702,64,53,59,14,5,0,53,22,0
704,38,31,59,19,5,0,46,22,0
705,24,41,47,16,5,0,51,38,0
707,39,44,54,24,5,0,51,49,0
708,43,48,53,18,5,0,46,22,0
709,47,43,48,16,5,0,46,27,0
711,33,28,52,15,5,0,51,86,0
713,45,54,49,29,5,0,49,25,0
715,43,41,51,34,5,0,49,28,0
717,41,52,56,26,5,0,48,32,0
719,49,49,51,29,5,0,52,71,0
720,41,52,51,22,5,0,52,44,0
724,61,46,54,11,5,0,47,22,0
725,66,55,54,18,5,0,43,22,0
726,53,46,54,37,5,0,51,3,0
729,44,33,55,16,5,0,49,22,0
730,57,55,52,16,5,0,49,39,0
733,35,42,56,28,5,0,47,22,0
734,47,47,54,19,5,0,51,33,0
736,55,45,58,25,5,0,49,22,0
740,64,44,51,35,5,0,53,22,0
742,55,38,64,42,5,0,47,22,0
745,45,49,57,25,5,0,48,22,0
748,47,45,51,33,5,0,46,26,0
749,43,44,64,19,5,0,38,33,0
751,39,39,59,25,5,0,45,22,0
754,43,33,54,37,5,0,38,16,0
755,43,33,54,37,5,0,38,16,0
756,51,39,58,19,5,0,47,22,0
757,72,51,52,8,5,0,54,22,0
759,57,37,43,27,5,0,53,28,0
760,57,49,61,26,5,0,52,22,0
761,48,45,63,19,5,0,58,22,0
763,38,44,55,44,5,0,47,51,0
766,52,46,56,25,5,0,52,22,0
767,34,47,48,32,5,0,42,22,0
769,46,53,47,37,5,0,51,36,0
770,57,42,63,22,5,0,68,32,0
771,37,45,53,14,5,0,49,22,0
772,36,49,55,21,5,0,55,33,0
775,35,33,48,42,5,0,47,43,0
778,57,43,52,3,5,0,37,11,0
779,57,43,52,3,5,0,37,11,0
780,59,51,48,12,5,0,54,31,0
781,59,51,48,12,5,0,54,31,0
782,61,53,59,17,5,0,44,28,0
783,61,48,56,19,5,0,53,31,0
784,61,48,56,19,5,0,53,31,0
789,44,36,64,45,5,0,53,11,0
790,58,45,55,27,5,0,48,11,0
791,43,33,67,12,5,0,43,23,0
793,38,43,53,22,5,0,48,11,0
796,34,34,65,4,5,0,32,16,0
797,34,34,65,4,5,0,32,16,0
800,56,35,47,35,5,0,52,22,0
802,35,39,56,2,5,0,49,41,0
803,48,46,58,16,5,0,45,22,0
804,48,55,48,1,5,0,55,22,0
805,69,54,55,23,5,0,73,22,0
806,42,49,49,36,5,0,57,26,0
807,44,62,53,27,5,0,49,22,0
808,56,61,52,19,5,0,52,32,0
809,46,33,45,22,5,0,41,37,0
810,52,43,61,22,5,0,45,22,0
813,48,41,52,33,5,0,51,26,0
814,46,39,54,22,5,0,48,25,0
815,46,39,54,22,5,0,48,25,0
819,39,65,57,19,5,0,44,25,0
820,39,65,57,19,5,0,43,25,0
823,51,52,58,17,5,0,47,28,0
829,42,38,52,29,5,0,42,22,0
831,37,37,51,38,5,0,44,22,0
833,34,25,55,28,5,0,51,49,0
838,56,42,52,14,5,0,51,22,0
843,46,42,51,16,5,0,56,22,0
844,55,52,44,2,5,0,56,22,0
845,49,38,56,9,5,0,46,22,0
848,46,44,58,17,5,0,55,22,0
849,34,46,52,19,5,0,53,26,0
852,41,49,47,9,5,0,49,22,0
853,44,51,53,3,5,0,53,22,0
855,46,38,51,2,5,0,51,22,0
860,37,42,46,15,5,0,51,31,0
861,59,55,57,18,5,0,51,22,0
864,47,52,54,25,5,0,54,29,0
868,54,59,57,34,5,0,49,22,0
872,53,49,47,21,5,0,53,22,0
874,42,43,67,7,5,0,42,25,0
875,47,44,53,18,5,0,47,29,0
877,42,42,55,31,5,0,43,22,0
878,42,28,49,22,5,0,55,34,0
880,56,55,57,15,5,0,54,25,0
882,46,56,56,25,5,0,43,22,0
883,47,55,57,17,5,0,52,66,0
884,37,55,52,13,5,0,42,8,0
889,64,31,53,15,5,0,53,31,0
891,47,56,51,2,5,0,52,59,0
892,48,55,58,18,5,0,38,69,0
898,39,45,51,29,5,0,54,22,0
899,33,47,55,24,5,0,45,67,0
901,43,47,47,18,5,0,47,22,0
902,66,43,57,6,5,0,19,33,0
907,54,47,58,4,5,0,46,27,0
908,46,41,45,23,5,0,48,22,0
910,52,47,58,18,5,0,34,11,0
911,52,47,58,18,5,0,34,11,0
913,57,55,51,18,5,0,51,43,0
914,44,43,46,28,5,0,45,29,0
917,38,58,46,21,5,0,52,22,0
918,32,68,51,16,5,83,55,22,0
919,27,46,52,17,5,0,49,44,0
920,52,45,45,13,5,0,48,22,0
921,37,29,45,15,5,0,49,22,0
922,37,48,67,37,5,0,56,62,0
923,44,59,54,18,5,0,49,22,0
924,48,65,36,24,5,0,54,31,0
925,59,49,45,22,5,0,45,31,0
926,73,52,59,25,5,0,51,22,0
929,52,31,56,16,5,0,55,22,0
933,47,32,51,24,5,0,54,27,0
934,53,25,59,27,5,0,45,26,0
936,25,33,48,18,5,0,42,33,0
940,62,33,49,24,5,0,51,42,0
941,56,52,46,17,5,0,49,73,0
942,52,56,55,16,5,0,53,39,0
943,53,48,51,18,5,0,52,27,0
944,51,48,51,26,5,0,51,27,0
945,53,48,51,18,5,0,51,27,0
946,44,39,63,11,5,0,49,26,0
948,38,42,47,12,5,0,47,53,0
957,45,57,52,21,5,0,54,38,0
961,66,65,53,17,5,0,47,66,0
962,48,54,56,29,5,0,51,43,0
963,33,37,49,22,5,0,55,22,0
967,58,37,58,16,5,0,51,22,0
968,51,59,55,21,5,0,52,22,0
970,41,49,55,13,5,0,55,22,0
971,23,29,46,0,5,0,43,31,0
973,38,34,55,44,5,0,48,26,0
975,48,17,37,33,5,0,44,36,0
977,55,38,52,16,5,0,49,64,0
979,41,56,53,16,5,0,55,26,0
982,44,65,49,16,5,0,48,31,0
983,48,44,46,37,5,0,46,36,0
985,62,42,47,16,5,0,52,22,0
987,59,51,47,21,5,0,47,22,0
988,39,47,49,2,5,0,53,26,0
993,49,51,52,13,5,0,51,33,0
995,63,43,48,11,5,0,51,22,0
996,52,45,53,34,5,0,52,44,0
997,54,48,55,33,5,0,55,4,0
1000,63,58,57,1,5,0,52,33,0
1001,54,67,56,15,5,0,57,33,0
1002,41,59,65,14,5,0,49,33,0
1004,33,17,52,13,5,0,51,75,0
1006,54,55,55,4,5,0,53,22,0
1009,33,36,62,26,5,0,55,22,0
1011,47,56,58,19,5,0,44,64,0
1012,32,32,52,18,5,0,48,34,0
1014,41,46,57,25,5,0,57,38,0
1015,44,54,51,16,5,0,58,22,0
1021,47,46,53,12,5,0,51,25,0
1022,57,29,63,22,5,0,49,27,0
1023,52,49,59,21,5,0,47,22,0
1024,41,42,53,17,5,0,48,58,0
1027,44,49,49,27,5,0,52,22,0
1028,25,26,53,17,5,0,45,22,0
1029,49,46,54,18,5,0,35,22,0
1030,42,37,54,17,5,0,51,22,0
1031,42,45,75,21,5,0,48,22,0
1032,63,54,53,27,5,0,49,22,0
1033,54,43,48,27,5,0,44,41,0
1037,49,38,49,15,5,0,53,25,0
1038,53,45,52,29,5,0,55,38,0
1040,57,36,51,25,5,0,54,25,0
1044,59,46,57,17,5,0,52,22,0
1045,53,42,53,19,5,0,47,22,0
1046,59,46,55,17,5,0,52,25,0
1049,36,52,61,33,5,0,52,37,0
1050,52,51,48,12,5,0,54,31,0
1051,56,46,51,25,5,0,54,22,0
1052,47,46,49,27,5,0,59,22,0
1055,46,47,62,3,5,0,38,22,0
1058,42,46,44,17,5,0,51,42,0
1059,49,36,47,28,5,0,56,54,0
1060,34,42,48,19,5,0,46,31,0
1070,51,49,48,55,5,0,52,58,0
1071,44,35,55,14,5,0,52,22,0
1073,48,58,58,12,5,0,49,22,0
1080,56,68,42,36,5,0,49,22,0
1081,57,47,48,17,5,0,52,26,0
1082,46,52,51,13,5,0,47,22,0
1085,64,56,52,17,5,0,54,47,0
1087,51,39,56,55,5,0,46,64,0
1091,45,51,43,22,5,0,57,22,0
1096,53,52,49,27,5,0,51,22,0
1098,45,39,46,29,5,0,42,22,0
1100,28,41,46,18,5,0,47,39,0
1103,46,61,55,29,5,0,49,22,0
1105,25,41,47,14,5,0,56,68,0
1109,29,39,46,36,5,0,51,22,0
1110,4,4,43,19,5,83,48,22,0
1111,57,52,46,2,5,83,52,41,0
1123,47,41,53,27,5,0,47,25,0
1128,54,54,56,18,5,0,46,29,0
1131,58,44,45,32,5,0,52,37,0
1133,64,44,56,15,5,0,56,22,0
1134,48,58,47,17,5,0,53,74,0
1148,38,44,57,14,5,0,53,52,0
1158,35,29,46,14,5,0,54,66,0
1164,47,38,58,19,5,0,57,22,0
1171,58,56,38,39,5,0,54,57,0
1172,39,58,47,18,5,0,48,22,0
1173,38,47,47,18,5,0,44,26,0
1175,51,45,62,25,5,0,59,22,0
1176,59,67,54,19,5,0,48,6,0
1178,48,61,57,17,5,0,45,22,0
1181,38,32,64,41,5,0,44,11,0
1184,47,43,61,4,5,0,48,47,0
1186,65,54,54,13,5,0,53,22,0
1188,43,67,48,27,5,0,53,22,0
1189,43,39,54,21,5,0,53,27,0
1199,37,36,56,18,5,0,48,26,0
1201,41,46,59,19,5,0,58,27,0
1202,54,48,44,8,5,0,52,27,0
1207,67,62,4,43,5,83,5,22,0
1209,33,43,64,16,5,0,52,52,0
1211,42,35,54,18,5,0,56,22,0
1214,35,58,54,16,5,0,51,22,0
1216,42,43,56,1,5,0,49,22,0
1217,49,47,53,16,5,0,48,27,0
1227,46,43,38,33,5,0,48,28,0
1230,35,66,49,21,5,0,54,25,0
1235,38,51,75,17,5,0,55,22,0
1236,38,51,75,17,5,0,55,22,0
1238,45,27,57,36,5,0,52,18,0
1239,36,68,38,8,5,0,53,25,0
1242,36,24,49,16,5,0,51,22,0
1243,38,48,59,22,5,0,46,22,0
1244,41,24,54,26,5,0,41,22,0
1246,46,43,49,79,5,0,49,63,0
1248,45,56,54,32,5,0,57,22,0
1252,32,47,55,12,5,0,52,22,0
1255,69,6,51,13,5,83,52,22,0
1258,51,58,54,29,5,0,53,22,0
1262,27,51,47,35,5,0,49,28,0
1265,34,66,51,16,5,0,47,33,0
1268,44,51,48,38,5,0,52,22,0
1269,58,45,48,24,5,0,52,37,0
1270,38,49,61,13,5,0,54,22,0
1271,47,49,63,17,5,0,31,26,0
1272,21,38,49,16,5,0,51,45,0
1274,46,45,56,16,5,0,56,22,0
1275,56,44,56,19,5,0,54,22,0
1276,61,54,49,16,5,0,54,42,0
1278,44,41,58,2,5,0,57,25,0
1281,67,51,53,28,5,0,51,22,0
1289,59,53,47,26,5,0,53,31,0
1295,36,44,57,18,5,0,42,22,0
1296,43,38,51,24,5,0,46,33,0
1300,44,53,43,17,5,0,54,75,0
1301,62,64,56,2,5,0,48,33,0
1302,46,32,58,17,5,0,61,25,0
1308,43,83,55,2,5,0,47,4,0
1311,43,39,59,13,5,0,41,43,0
1312,41,54,58,2,5,0,52,22,0
1313,45,38,64,14,5,0,54,22,0
1314,58,52,61,33,5,0,38,11,0
1323,45,21,49,24,5,0,46,31,0
1324,29,34,55,24,5,0,51,22,0
1327,39,28,54,14,5,0,59,22,0
1328,49,27,57,18,5,83,54,22,0
1330,45,46,61,2,5,0,62,22,0
1331,49,45,53,16,5,0,49,31,0
1332,55,59,52,1,5,0,53,22,0
1333,33,38,45,19,5,0,54,37,0
1334,48,45,59,35,5,0,55,3,0
1336,46,46,53,23,5,0,51,22,0
1337,28,36,55,15,5,0,57,22,0
1339,53,54,43,18,5,0,53,31,0
1342,49,71,54,13,5,0,58,22,0
1343,46,37,48,36,5,0,48,22,0
1346,46,62,54,25,5,0,46,22,0
1350,48,48,56,18,5,0,58,22,0
1351,61,55,51,26,5,0,52,22,0
1354,61,39,53,14,5,0,43,26,0
1357,31,39,55,28,5,0,46,31,0
1358,54,53,53,17,5,0,51,39,0
1360,44,45,53,19,5,0,41,28,0
1361,46,41,58,1,5,0,48,22,0
1362,57,51,58,22,5,0,51,22,0
1366,61,38,57,36,5,0,44,21,0
1367,61,38,57,36,5,0,44,21,0
1368,35,41,53,27,5,0,47,29,0
1372,38,38,54,24,5,0,54,22,0
1373,36,56,52,18,5,0,45,16,0
1376,43,33,67,12,5,0,45,23,0
1382,47,56,46,5,5,0,51,22,0
1383,52,43,61,22,5,0,45,22,0
1384,41,49,65,28,5,0,59,57,0
1387,41,46,58,8,5,0,51,28,0
1390,46,49,55,18,5,0,56,22,0
1395,46,47,44,18,10,0,46,22,0
1396,54,51,56,15,5,0,54,31,0
1399,47,37,46,28,5,0,52,99,0
1401,49,49,52,18,5,0,51,25,0
1403,45,65,51,17,5,0,49,22,0
1405,33,42,55,23,5,0,52,43,0
1406,37,47,49,12,5,0,47,31,0
1411,55,57,51,7,5,0,55,22,0
1412,36,32,55,27,5,0,47,43,0
1415,49,48,51,21,5,0,53,22,0
1416,51,48,51,19,5,0,51,27,0
1419,45,45,51,3,5,0,48,44,0
1424,38,51,56,21,5,0,48,31,0
1430,39,39,65,16,5,0,45,22,0
1434,63,43,48,11,5,0,51,22,0
1437,53,51,54,21,5,0,45,22,0
1438,39,45,75,17,5,0,51,22,0
1440,45,76,51,25,5,0,59,22,0
1441,48,44,51,24,5,0,49,22,0
1444,66,54,53,17,5,0,54,22,0
1446,19,41,55,13,5,0,52,25,0
1448,56,49,47,13,5,0,52,22,0
1450,36,51,51,17,5,0,52,22,0
1455,48,49,49,26,5,0,39,27,0
1456,41,48,51,2,5,0,51,22,0
1471,33,38,47,14,5,0,51,47,0
1482,38,48,57,3,5,0,41,11,0
